101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.144000		0.030000		-0.134495
0.145000		0.030000		-0.127831
0.146000		0.030000		-0.121568
0.147000		0.030000		-0.115677
0.148000		0.030000		-0.110134
0.149000		0.030000		-0.104914
0.150000		0.030000		-0.099996
0.151000		0.030000		-0.095359
0.152000		0.030000		-0.090985
0.153000		0.030000		-0.086856
0.154000		0.030000		-0.082956
0.155000		0.030000		-0.079271
0.156000		0.030000		-0.075787
0.157000		0.030000		-0.072491
0.158000		0.030000		-0.069372
0.159000		0.030000		-0.066418
0.160000		0.030000		-0.063618
0.161000		0.030000		-0.060965
0.162000		0.030000		-0.058448
0.163000		0.030000		-0.056060
0.164000		0.030000		-0.053793
0.165000		0.030000		-0.051639
0.166000		0.030000		-0.049593
0.167000		0.030000		-0.047647
0.168000		0.030000		-0.045796
0.169000		0.030000		-0.044035
0.170000		0.030000		-0.042359
0.171000		0.030000		-0.040762
0.172000		0.030000		-0.039241
0.173000		0.030000		-0.037790
0.174000		0.030000		-0.036407
0.175000		0.030000		-0.035088
0.176000		0.030000		-0.033829
0.177000		0.030000		-0.032626
0.178000		0.030000		-0.031478
0.179000		0.030000		-0.030380
0.180000		0.030000		-0.029331
0.181000		0.030000		-0.028328
0.182000		0.030000		-0.027368
0.183000		0.030000		-0.026450
0.184000		0.030000		-0.025570
0.185000		0.030000		-0.024728
0.186000		0.030000		-0.023921
0.187000		0.030000		-0.023148
0.188000		0.030000		-0.022407
0.189000		0.030000		-0.021696
0.190000		0.030000		-0.021014
0.191000		0.030000		-0.020360
0.192000		0.030000		-0.019731
0.193000		0.030000		-0.019128
0.194000		0.030000		-0.018548
0.195000		0.030000		-0.017991
0.196000		0.030000		-0.017456
0.197000		0.030000		-0.016941
0.198000		0.030000		-0.016446
0.199000		0.030000		-0.015970
0.200000		0.030000		-0.015511
0.100000		0.040000		-2.720411
0.101000		0.040000		-2.479796
0.102000		0.040000		-2.264000
0.103000		0.040000		-2.070124
0.104000		0.040000		-1.895644
0.105000		0.040000		-1.738361
0.106000		0.040000		-1.596351
0.107000		0.040000		-1.467931
0.108000		0.040000		-1.351622
0.109000		0.040000		-1.246127
0.110000		0.040000		-1.150301
0.111000		0.040000		-1.063137
0.112000		0.040000		-0.983742
0.113000		0.040000		-0.911328
0.114000		0.040000		-0.845195
0.115000		0.040000		-0.784721
0.116000		0.040000		-0.729355
0.117000		0.040000		-0.678602
0.118000		0.040000		-0.632025
0.119000		0.040000		-0.589231
0.120000		0.040000		-0.549868
0.121000		0.040000		-0.513621
0.122000		0.040000		-0.480209
0.123000		0.040000		-0.449376
0.124000		0.040000		-0.420897
0.125000		0.040000		-0.394563
0.126000		0.040000		-0.370191
0.127000		0.040000		-0.347611
0.128000		0.040000		-0.326674
0.129000		0.040000		-0.307242
0.130000		0.040000		-0.289191
0.131000		0.040000		-0.272407
0.132000		0.040000		-0.256789
0.133000		0.040000		-0.242243
0.134000		0.040000		-0.228685
0.135000		0.040000		-0.216038
0.136000		0.040000		-0.204231
0.137000		0.040000		-0.193199
0.138000		0.040000		-0.182885
0.139000		0.040000		-0.173233
0.140000		0.040000		-0.164196
0.141000		0.040000		-0.155728
0.142000		0.040000		-0.147787
0.143000		0.040000		-0.140337
0.144000		0.040000		-0.133340
0.145000		0.040000		-0.126767
0.146000		0.040000		-0.120587
0.147000		0.040000		-0.114772
0.148000		0.040000		-0.109299
0.149000		0.040000		-0.104143
0.150000		0.040000		-0.099283
0.151000		0.040000		-0.094700
0.152000		0.040000		-0.090375
0.153000		0.040000		-0.086292
0.154000		0.040000		-0.082435
0.155000		0.040000		-0.078788
0.156000		0.040000		-0.075340
0.157000		0.040000		-0.072077
0.158000		0.040000		-0.068987
0.159000		0.040000		-0.066061
0.160000		0.040000		-0.063288
0.161000		0.040000		-0.060658
0.162000		0.040000		-0.058163
0.163000		0.040000		-0.055795
0.164000		0.040000		-0.053547
0.165000		0.040000		-0.051411
0.166000		0.040000		-0.049380
0.167000		0.040000		-0.047449
0.168000		0.040000		-0.045613
0.169000		0.040000		-0.043864
0.170000		0.040000		-0.042200
0.171000		0.040000		-0.040614
0.172000		0.040000		-0.039103
0.173000		0.040000		-0.037662
0.174000		0.040000		-0.036288
0.175000		0.040000		-0.034976
0.176000		0.040000		-0.033724
0.177000		0.040000		-0.032529
0.178000		0.040000		-0.031387
0.179000		0.040000		-0.030296
0.180000		0.040000		-0.029252
0.181000		0.040000		-0.028254
0.182000		0.040000		-0.027299
0.183000		0.040000		-0.026385
0.184000		0.040000		-0.025510
0.185000		0.040000		-0.024672
0.186000		0.040000		-0.023869
0.187000		0.040000		-0.023099
0.188000		0.040000		-0.022361
0.189000		0.040000		-0.021653
0.190000		0.040000		-0.020974
0.191000		0.040000		-0.020322
0.192000		0.040000		-0.019696
0.193000		0.040000		-0.019095
0.194000		0.040000		-0.018518
0.195000		0.040000		-0.017963
0.196000		0.040000		-0.017429
0.197000		0.040000		-0.016916
0.198000		0.040000		-0.016423
0.199000		0.040000		-0.015948
0.200000		0.040000		-0.015491
0.100000		0.050000		-2.618968
0.101000		0.050000		-2.389615
0.102000		0.050000		-2.183716
0.103000		0.050000		-1.998551
0.104000		0.050000		-1.831753
0.105000		0.050000		-1.681252
0.106000		0.050000		-1.545240
0.107000		0.050000		-1.422133
0.108000		0.050000		-1.310536
0.109000		0.050000		-1.209226
0.110000		0.050000		-1.117123
0.111000		0.050000		-1.033274
0.112000		0.050000		-0.956835
0.113000		0.050000		-0.887060
0.114000		0.050000		-0.823285
0.115000		0.050000		-0.764922
0.116000		0.050000		-0.711446
0.117000		0.050000		-0.662390
0.118000		0.050000		-0.617335
0.119000		0.050000		-0.575908
0.120000		0.050000		-0.537776
0.121000		0.050000		-0.502637
0.122000		0.050000		-0.470223
0.123000		0.050000		-0.440292
0.124000		0.050000		-0.412625
0.125000		0.050000		-0.387027
0.126000		0.050000		-0.363319
0.127000		0.050000		-0.341341
