101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.169000		0.030000		-0.043649
0.170000		0.030000		-0.041962
0.171000		0.030000		-0.040356
0.172000		0.030000		-0.038826
0.173000		0.030000		-0.037368
0.174000		0.030000		-0.035977
0.175000		0.030000		-0.034651
0.176000		0.030000		-0.033385
0.177000		0.030000		-0.032177
0.178000		0.030000		-0.031024
0.179000		0.030000		-0.029922
0.180000		0.030000		-0.028868
0.181000		0.030000		-0.027861
0.182000		0.030000		-0.026898
0.183000		0.030000		-0.025977
0.184000		0.030000		-0.025095
0.185000		0.030000		-0.024250
0.186000		0.030000		-0.023442
0.187000		0.030000		-0.022667
0.188000		0.030000		-0.021924
0.189000		0.030000		-0.021213
0.190000		0.030000		-0.020530
0.191000		0.030000		-0.019875
0.192000		0.030000		-0.019246
0.193000		0.030000		-0.018643
0.194000		0.030000		-0.018064
0.195000		0.030000		-0.017507
0.196000		0.030000		-0.016972
0.197000		0.030000		-0.016458
0.198000		0.030000		-0.015964
0.199000		0.030000		-0.015489
0.200000		0.030000		-0.015032
0.100000		0.040000		-2.715327
0.101000		0.040000		-2.475901
0.102000		0.040000		-2.261108
0.103000		0.040000		-2.068077
0.104000		0.040000		-1.894306
0.105000		0.040000		-1.737615
0.106000		0.040000		-1.596097
0.107000		0.040000		-1.468083
0.108000		0.040000		-1.352108
0.109000		0.040000		-1.246883
0.110000		0.040000		-1.151274
0.111000		0.040000		-1.064281
0.112000		0.040000		-0.985018
0.113000		0.040000		-0.912702
0.114000		0.040000		-0.846639
0.115000		0.040000		-0.786211
0.116000		0.040000		-0.730869
0.117000		0.040000		-0.680125
0.118000		0.040000		-0.633542
0.119000		0.040000		-0.590729
0.120000		0.040000		-0.551338
0.121000		0.040000		-0.515055
0.122000		0.040000		-0.481599
0.123000		0.040000		-0.450719
0.124000		0.040000		-0.422186
0.125000		0.040000		-0.395797
0.126000		0.040000		-0.371366
0.127000		0.040000		-0.348728
0.128000		0.040000		-0.327730
0.129000		0.040000		-0.308236
0.130000		0.040000		-0.290124
0.131000		0.040000		-0.273279
0.132000		0.040000		-0.257601
0.133000		0.040000		-0.242995
0.134000		0.040000		-0.229379
0.135000		0.040000		-0.216674
0.136000		0.040000		-0.204811
0.137000		0.040000		-0.193725
0.138000		0.040000		-0.183358
0.139000		0.040000		-0.173656
0.140000		0.040000		-0.164570
0.141000		0.040000		-0.156054
0.142000		0.040000		-0.148068
0.143000		0.040000		-0.140573
0.144000		0.040000		-0.133534
0.145000		0.040000		-0.126920
0.146000		0.040000		-0.120701
0.147000		0.040000		-0.114850
0.148000		0.040000		-0.109341
0.149000		0.040000		-0.104151
0.150000		0.040000		-0.099259
0.151000		0.040000		-0.094645
0.152000		0.040000		-0.090291
0.153000		0.040000		-0.086180
0.154000		0.040000		-0.082297
