100
100
T [fm^-1]		muB [fm^-1]		G_dfce [1]
0.718182		0.054949		0.051199
0.720606		0.054949		0.050548
0.723030		0.054949		0.049907
0.725455		0.054949		0.049276
0.727879		0.054949		0.048655
0.730303		0.054949		0.048044
0.732727		0.054949		0.047443
0.735152		0.054949		0.046851
0.737576		0.054949		0.046269
0.740000		0.054949		0.045695
0.742424		0.054949		0.045132
0.744848		0.054949		0.044577
0.747273		0.054949		0.044030
0.749697		0.054949		0.043493
0.752121		0.054949		0.042964
0.754545		0.054949		0.042443
0.756970		0.054949		0.041931
0.759394		0.054949		0.041427
0.761818		0.054949		0.040930
0.764242		0.054949		0.040442
0.766667		0.054949		0.039961
0.769091		0.054949		0.039488
0.771515		0.054949		0.039022
0.773939		0.054949		0.038563
0.776364		0.054949		0.038112
0.778788		0.054949		0.037668
0.781212		0.054949		0.037231
0.783636		0.054949		0.036801
0.786061		0.054949		0.036377
0.788485		0.054949		0.035960
0.790909		0.054949		0.035549
0.793333		0.054949		0.035145
0.795758		0.054949		0.034747
0.798182		0.054949		0.034356
0.800606		0.054949		0.033970
0.803030		0.054949		0.033590
0.805455		0.054949		0.033217
0.807879		0.054949		0.032849
0.810303		0.054949		0.032486
0.812727		0.054949		0.032130
0.815152		0.054949		0.031779
0.817576		0.054949		0.031433
0.820000		0.054949		0.031092
0.580000		0.082424		0.167691
0.582424		0.082424		0.165304
0.584848		0.082424		0.162954
0.587273		0.082424		0.160638
0.589697		0.082424		0.158357
0.592121		0.082424		0.156110
0.594545		0.082424		0.153898
0.596970		0.082424		0.151718
0.599394		0.082424		0.149572
0.601818		0.082424		0.147458
0.604242		0.082424		0.145376
0.606667		0.082424		0.143326
0.609091		0.082424		0.141308
0.611515		0.082424		0.139320
0.613939		0.082424		0.137362
0.616364		0.082424		0.135435
0.618788		0.082424		0.133537
0.621212		0.082424		0.131669
0.623636		0.082424		0.129829
0.626061		0.082424		0.128018
0.628485		0.082424		0.126234
0.630909		0.082424		0.124479
0.633333		0.082424		0.122750
0.635758		0.082424		0.121049
0.638182		0.082424		0.119373
0.640606		0.082424		0.117724
0.643030		0.082424		0.116101
0.645455		0.082424		0.114503
0.647879		0.082424		0.112930
0.650303		0.082424		0.111382
0.652727		0.082424		0.109858
0.655152		0.082424		0.108358
0.657576		0.082424		0.106882
0.660000		0.082424		0.105428
0.662424		0.082424		0.103998
0.664848		0.082424		0.102590
0.667273		0.082424		0.101205
0.669697		0.082424		0.099841
0.672121		0.082424		0.098499
0.674545		0.082424		0.097178
0.676970		0.082424		0.095878
0.679394		0.082424		0.094599
0.681818		0.082424		0.093340
0.684242		0.082424		0.092100
0.686667		0.082424		0.090881
0.689091		0.082424		0.089681
0.691515		0.082424		0.088500
0.693939		0.082424		0.087337
0.696364		0.082424		0.086194
0.698788		0.082424		0.085068
0.701212		0.082424		0.083960
0.703636		0.082424		0.082870
0.706061		0.082424		0.081797
0.708485		0.082424		0.080741
0.710909		0.082424		0.079702
0.713333		0.082424		0.078680
0.715758		0.082424		0.077674
0.718182		0.082424		0.076684
0.720606		0.082424		0.075709
0.723030		0.082424		0.074750
0.725455		0.082424		0.073807
0.727879		0.082424		0.072878
0.730303		0.082424		0.071964
0.732727		0.082424		0.071065
0.735152		0.082424		0.070180
0.737576		0.082424		0.069309
0.740000		0.082424		0.068451
0.742424		0.082424		0.067608
0.744848		0.082424		0.066777
0.747273		0.082424		0.065960
0.749697		0.082424		0.065156
0.752121		0.082424		0.064365
0.754545		0.082424		0.063586
0.756970		0.082424		0.062819
0.759394		0.082424		0.062065
0.761818		0.082424		0.061322
0.764242		0.082424		0.060591
0.766667		0.082424		0.059872
0.769091		0.082424		0.059163
0.771515		0.082424		0.058466
0.773939		0.082424		0.057780
0.776364		0.082424		0.057105
0.778788		0.082424		0.056440
0.781212		0.082424		0.055786
0.783636		0.082424		0.055142
0.786061		0.082424		0.054508
0.788485		0.082424		0.053884
0.790909		0.082424		0.053269
0.793333		0.082424		0.052664
0.795758		0.082424		0.052069
0.798182		0.082424		0.051483
0.800606		0.082424		0.050905
0.803030		0.082424		0.050337
0.805455		0.082424		0.049778
0.807879		0.082424		0.049227
0.810303		0.082424		0.048685
0.812727		0.082424		0.048151
0.815152		0.082424		0.047625
0.817576		0.082424		0.047107
0.820000		0.082424		0.046597
0.580000		0.109899		0.222637
0.582424		0.109899		0.219480
0.584848		0.109899		0.216370
0.587273		0.109899		0.213306
0.589697		0.109899		0.210288
0.592121		0.109899		0.207315
0.594545		0.109899		0.204386
0.596970		0.109899		0.201502
0.599394		0.109899		0.198661
0.601818		0.109899		0.195862
0.604242		0.109899		0.193106
0.606667		0.109899		0.190392
0.609091		0.109899		0.187719
0.611515		0.109899		0.185087
0.613939		0.109899		0.182494
0.616364		0.109899		0.179942
0.618788		0.109899		0.177428
0.621212		0.109899		0.174953
0.623636		0.109899		0.172516
0.626061		0.109899		0.170116
0.628485		0.109899		0.167753
0.630909		0.109899		0.165427
0.633333		0.109899		0.163136
0.635758		0.109899		0.160881
0.638182		0.109899		0.158661
0.640606		0.109899		0.156476
0.643030		0.109899		0.154324
0.645455		0.109899		0.152206
0.647879		0.109899		0.150121
0.650303		0.109899		0.148068
0.652727		0.109899		0.146048
0.655152		0.109899		0.144059
0.657576		0.109899		0.142101
0.660000		0.109899		0.140174
0.662424		0.109899		0.138277
0.664848		0.109899		0.136410
0.667273		0.109899		0.134572
0.669697		0.109899		0.132763
0.672121		0.109899		0.130983
0.674545		0.109899		0.129231
0.676970		0.109899		0.127506
0.679394		0.109899		0.125809
0.681818		0.109899		0.124138
0.684242		0.109899		0.122494
0.686667		0.109899		0.120876
0.689091		0.109899		0.119283
0.691515		0.109899		0.117716
0.693939		0.109899		0.116173
0.696364		0.109899		0.114655
0.698788		0.109899		0.113161
0.701212		0.109899		0.111691
0.703636		0.109899		0.110244
0.706061		0.109899		0.108820
0.708485		0.109899		0.107418
0.710909		0.109899		0.106039
0.713333		0.109899		0.104681
0.715758		0.109899		0.103346
0.718182		0.109899		0.102031
0.720606		0.109899		0.100737
0.723030		0.109899		0.099464
0.725455		0.109899		0.098211
0.727879		0.109899		0.096977
0.730303		0.109899		0.095764
0.732727		0.109899		0.094569
0.735152		0.109899		0.093393
0.737576		0.109899		0.092236
0.740000		0.109899		0.091098
0.742424		0.109899		0.089977
0.744848		0.109899		0.088874
0.747273		0.109899		0.087789
0.749697		0.109899		0.086720
0.752121		0.109899		0.085669
0.754545		0.109899		0.084634
0.756970		0.109899		0.083615
0.759394		0.109899		0.082613
0.761818		0.109899		0.081626
0.764242		0.109899		0.080655
0.766667		0.109899		0.079699
0.769091		0.109899		0.078758
0.771515		0.109899		0.077831
0.773939		0.109899		0.076920
0.776364		0.109899		0.076022
0.778788		0.109899		0.075139
0.781212		0.109899		0.074269
0.783636		0.109899		0.073413
0.786061		0.109899		0.072570
0.788485		0.109899		0.071741
0.790909		0.109899		0.070924
0.793333		0.109899		0.070120
0.795758		0.109899		0.069328
0.798182		0.109899		0.068549
0.800606		0.109899		0.067781
0.803030		0.109899		0.067026
0.805455		0.109899		0.066282
0.807879		0.109899		0.065550
0.810303		0.109899		0.064829
0.812727		0.109899		0.064119
0.815152		0.109899		0.063420
0.817576		0.109899		0.062731
0.820000		0.109899		0.062053
0.580000		0.137374		0.276786
0.582424		0.137374		0.272880
0.584848		0.137374		0.269030
0.587273		0.137374		0.265238
0.589697		0.137374		0.261501
0.592121		0.137374		0.257821
0.594545		0.137374		0.254195
0.596970		0.137374		0.250623
0.599394		0.137374		0.247104
0.601818		0.137374		0.243638
0.604242		0.137374		0.240224
0.606667		0.137374		0.236862
0.609091		0.137374		0.233550
0.611515		0.137374		0.230288
0.613939		0.137374		0.227075
0.616364		0.137374		0.223912
0.618788		0.137374		0.220796
0.621212		0.137374		0.217728
0.623636		0.137374		0.214706
0.626061		0.137374		0.211731
0.628485		0.137374		0.208801
0.630909		0.137374		0.205916
0.633333		0.137374		0.203076
0.635758		0.137374		0.200279
0.638182		0.137374		0.197525
0.640606		0.137374		0.194814
0.643030		0.137374		0.192145
0.645455		0.137374		0.189517
0.647879		0.137374		0.186929
0.650303		0.137374		0.184382
0.652727		0.137374		0.181875
0.655152		0.137374		0.179406
0.657576		0.137374		0.176976
0.660000		0.137374		0.174584
0.662424		0.137374		0.172229
0.664848		0.137374		0.169911
0.667273		0.137374		0.167629
0.669697		0.137374		0.165383
0.672121		0.137374		0.163173
0.674545		0.137374		0.160997
0.676970		0.137374		0.158855
0.679394		0.137374		0.156746
0.681818		0.137374		0.154671
0.684242		0.137374		0.152629
0.686667		0.137374		0.150618
0.689091		0.137374		0.148640
0.691515		0.137374		0.146692
0.693939		0.137374		0.144776
0.696364		0.137374		0.142889
0.698788		0.137374		0.141032
0.701212		0.137374		0.139205
0.703636		0.137374		0.137406
0.706061		0.137374		0.135636
0.708485		0.137374		0.133894
0.710909		0.137374		0.132180
0.713333		0.137374		0.130492
0.715758		0.137374		0.128831
0.718182		0.137374		0.127197
0.720606		0.137374		0.125588
0.723030		0.137374		0.124004
0.725455		0.137374		0.122446
0.727879		0.137374		0.120912
0.730303		0.137374		0.119403
0.732727		0.137374		0.117917
0.735152		0.137374		0.116455
0.737576		0.137374		0.115016
0.740000		0.137374		0.113599
0.742424		0.137374		0.112205
0.744848		0.137374		0.110833
0.747273		0.137374		0.109483
0.749697		0.137374		0.108153
0.752121		0.137374		0.106845
0.754545		0.137374		0.105557
0.756970		0.137374		0.104290
0.759394		0.137374		0.103042
0.761818		0.137374		0.101814
0.764242		0.137374		0.100605
0.766667		0.137374		0.099416
0.769091		0.137374		0.098244
0.771515		0.137374		0.097091
0.773939		0.137374		0.095956
0.776364		0.137374		0.094839
0.778788		0.137374		0.093739
0.781212		0.137374		0.092657
0.783636		0.137374		0.091591
0.786061		0.137374		0.090542
0.788485		0.137374		0.089509
0.790909		0.137374		0.088492
0.793333		0.137374		0.087491
0.795758		0.137374		0.086505
0.798182		0.137374		0.085534
0.800606		0.137374		0.084579
0.803030		0.137374		0.083638
0.805455		0.137374		0.082712
0.807879		0.137374		0.081800
0.810303		0.137374		0.080901
0.812727		0.137374		0.080017
0.815152		0.137374		0.079146
0.817576		0.137374		0.078289
0.820000		0.137374		0.077444
0.580000		0.164848		0.329962
0.582424		0.164848		0.325330
0.584848		0.164848		0.320766
0.587273		0.164848		0.316269
0.589697		0.164848		0.311838
0.592121		0.164848		0.307471
0.594545		0.164848		0.303170
0.596970		0.164848		0.298932
0.599394		0.164848		0.294757
0.601818		0.164848		0.290643
0.604242		0.164848		0.286591
0.606667		0.164848		0.282600
0.609091		0.164848		0.278668
0.611515		0.164848		0.274795
0.613939		0.164848		0.270980
0.616364		0.164848		0.267223
0.618788		0.164848		0.263522
0.621212		0.164848		0.259877
0.623636		0.164848		0.256287
0.626061		0.164848		0.252752
0.628485		0.164848		0.249271
0.630909		0.164848		0.245842
0.633333		0.164848		0.242466
0.635758		0.164848		0.239142
0.638182		0.164848		0.235868
0.640606		0.164848		0.232644
0.643030		0.164848		0.229470
0.645455		0.164848		0.226345
0.647879		0.164848		0.223268
0.650303		0.164848		0.220238
0.652727		0.164848		0.217255
0.655152		0.164848		0.214319
0.657576		0.164848		0.211427
0.660000		0.164848		0.208581
0.662424		0.164848		0.205779
0.664848		0.164848		0.203020
0.667273		0.164848		0.200304
0.669697		0.164848		0.197631
0.672121		0.164848		0.194999
0.674545		0.164848		0.192408
0.676970		0.164848		0.189858
0.679394		0.164848		0.187347
0.681818		0.164848		0.184876
0.684242		0.164848		0.182444
0.686667		0.164848		0.180049
0.689091		0.164848		0.177693
0.691515		0.164848		0.175373
0.693939		0.164848		0.173089
0.696364		0.164848		0.170842
0.698788		0.164848		0.168629
0.701212		0.164848		0.166452
0.703636		0.164848		0.164308
0.706061		0.164848		0.162199
0.708485		0.164848		0.160122
0.710909		0.164848		0.158078
0.713333		0.164848		0.156067
0.715758		0.164848		0.154087
0.718182		0.164848		0.152138
0.720606		0.164848		0.150220
0.723030		0.164848		0.148332
0.725455		0.164848		0.146474
0.727879		0.164848		0.144645
0.730303		0.164848		0.142844
0.732727		0.164848		0.141072
0.735152		0.164848		0.139328
0.737576		0.164848		0.137612
0.740000		0.164848		0.135922
0.742424		0.164848		0.134259
0.744848		0.164848		0.132622
0.747273		0.164848		0.131010
0.749697		0.164848		0.129424
0.752121		0.164848		0.127863
0.754545		0.164848		0.126326
0.756970		0.164848		0.124814
0.759394		0.164848		0.123325
0.761818		0.164848		0.121859
