101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.164000		0.050000		-0.147870
0.165000		0.050000		-0.147539
0.166000		0.050000		-0.147223
0.167000		0.050000		-0.146921
0.168000		0.050000		-0.146633
0.169000		0.050000		-0.146359
0.170000		0.050000		-0.146097
0.171000		0.050000		-0.145849
0.172000		0.050000		-0.145613
0.173000		0.050000		-0.145390
0.174000		0.050000		-0.145178
0.175000		0.050000		-0.144979
0.176000		0.050000		-0.144791
0.177000		0.050000		-0.144614
0.178000		0.050000		-0.144448
0.179000		0.050000		-0.144292
0.180000		0.050000		-0.144148
0.181000		0.050000		-0.144013
0.182000		0.050000		-0.143888
0.183000		0.050000		-0.143773
0.184000		0.050000		-0.143668
0.185000		0.050000		-0.143572
0.186000		0.050000		-0.143484
0.187000		0.050000		-0.143406
0.188000		0.050000		-0.143336
0.189000		0.050000		-0.143275
0.190000		0.050000		-0.143221
0.191000		0.050000		-0.143176
0.192000		0.050000		-0.143138
0.193000		0.050000		-0.143108
0.194000		0.050000		-0.143085
0.195000		0.050000		-0.143070
0.196000		0.050000		-0.143061
0.197000		0.050000		-0.143060
0.198000		0.050000		-0.143065
0.199000		0.050000		-0.143076
0.200000		0.050000		-0.143094
0.100000		0.060000		-0.208430
0.101000		0.060000		-0.207029
0.102000		0.060000		-0.205625
0.103000		0.060000		-0.204220
0.104000		0.060000		-0.202815
0.105000		0.060000		-0.201411
0.106000		0.060000		-0.200011
0.107000		0.060000		-0.198615
0.108000		0.060000		-0.197226
0.109000		0.060000		-0.195845
0.110000		0.060000		-0.194472
0.111000		0.060000		-0.193109
0.112000		0.060000		-0.191758
0.113000		0.060000		-0.190419
0.114000		0.060000		-0.189094
0.115000		0.060000		-0.187783
0.116000		0.060000		-0.186488
0.117000		0.060000		-0.185208
0.118000		0.060000		-0.183946
0.119000		0.060000		-0.182701
0.120000		0.060000		-0.181475
0.121000		0.060000		-0.180267
0.122000		0.060000		-0.179079
0.123000		0.060000		-0.177911
0.124000		0.060000		-0.176763
0.125000		0.060000		-0.175637
0.126000		0.060000		-0.174531
0.127000		0.060000		-0.173447
0.128000		0.060000		-0.172384
0.129000		0.060000		-0.171344
0.130000		0.060000		-0.170325
0.131000		0.060000		-0.169329
0.132000		0.060000		-0.168355
0.133000		0.060000		-0.167403
0.134000		0.060000		-0.166474
0.135000		0.060000		-0.165567
0.136000		0.060000		-0.164683
0.137000		0.060000		-0.163820
0.138000		0.060000		-0.162980
0.139000		0.060000		-0.162162
0.140000		0.060000		-0.161365
0.141000		0.060000		-0.160591
0.142000		0.060000		-0.159838
0.143000		0.060000		-0.159106
0.144000		0.060000		-0.158395
0.145000		0.060000		-0.157705
0.146000		0.060000		-0.157036
0.147000		0.060000		-0.156387
0.148000		0.060000		-0.155759
0.149000		0.060000		-0.155150
0.150000		0.060000		-0.154560
0.151000		0.060000		-0.153990
0.152000		0.060000		-0.153439
0.153000		0.060000		-0.152906
0.154000		0.060000		-0.152392
0.155000		0.060000		-0.151895
0.156000		0.060000		-0.151417
0.157000		0.060000		-0.150955
0.158000		0.060000		-0.150511
0.159000		0.060000		-0.150083
0.160000		0.060000		-0.149672
0.161000		0.060000		-0.149277
0.162000		0.060000		-0.148898
0.163000		0.060000		-0.148534
0.164000		0.060000		-0.148185
0.165000		0.060000		-0.147851
0.166000		0.060000		-0.147531
0.167000		0.060000		-0.147226
0.168000		0.060000		-0.146934
0.169000		0.060000		-0.146656
0.170000		0.060000		-0.146392
0.171000		0.060000		-0.146140
0.172000		0.060000		-0.145901
0.173000		0.060000		-0.145674
0.174000		0.060000		-0.145459
0.175000		0.060000		-0.145257
0.176000		0.060000		-0.145065
0.177000		0.060000		-0.144885
0.178000		0.060000		-0.144716
0.179000		0.060000		-0.144558
0.180000		0.060000		-0.144410
0.181000		0.060000		-0.144273
0.182000		0.060000		-0.144145
0.183000		0.060000		-0.144028
0.184000		0.060000		-0.143919
0.185000		0.060000		-0.143820
0.186000		0.060000		-0.143730
0.187000		0.060000		-0.143649
