101
81
T [GeV]		muB [GeV]		c0_T4 [fm^3/GeV^3 * GeV^4]
0.176000		0.030000		-0.029410
0.177000		0.030000		-0.028529
0.178000		0.030000		-0.027679
0.179000		0.030000		-0.026858
0.180000		0.030000		-0.026067
0.181000		0.030000		-0.025302
0.182000		0.030000		-0.024565
0.183000		0.030000		-0.023853
0.184000		0.030000		-0.023166
0.185000		0.030000		-0.022502
0.186000		0.030000		-0.021861
0.187000		0.030000		-0.021242
0.188000		0.030000		-0.020643
0.189000		0.030000		-0.020065
0.190000		0.030000		-0.019507
0.191000		0.030000		-0.018967
0.192000		0.030000		-0.018445
0.193000		0.030000		-0.017940
0.194000		0.030000		-0.017453
0.195000		0.030000		-0.016981
0.196000		0.030000		-0.016524
0.197000		0.030000		-0.016083
0.198000		0.030000		-0.015656
0.199000		0.030000		-0.015243
0.200000		0.030000		-0.014843
0.100000		0.040000		-0.549626
0.101000		0.040000		-0.522455
0.102000		0.040000		-0.496906
0.103000		0.040000		-0.472864
0.104000		0.040000		-0.450223
0.105000		0.040000		-0.428886
0.106000		0.040000		-0.408763
0.107000		0.040000		-0.389772
0.108000		0.040000		-0.371837
0.109000		0.040000		-0.354889
0.110000		0.040000		-0.338862
0.111000		0.040000		-0.323698
0.112000		0.040000		-0.309340
0.113000		0.040000		-0.295738
0.114000		0.040000		-0.282845
0.115000		0.040000		-0.270617
0.116000		0.040000		-0.259012
0.117000		0.040000		-0.247995
0.118000		0.040000		-0.237528
0.119000		0.040000		-0.227581
0.120000		0.040000		-0.218121
0.121000		0.040000		-0.209122
0.122000		0.040000		-0.200557
0.123000		0.040000		-0.192402
0.124000		0.040000		-0.184632
0.125000		0.040000		-0.177228
0.126000		0.040000		-0.170168
0.127000		0.040000		-0.163435
0.128000		0.040000		-0.157010
0.129000		0.040000		-0.150877
0.130000		0.040000		-0.145022
0.131000		0.040000		-0.139428
0.132000		0.040000		-0.134083
0.133000		0.040000		-0.128975
0.134000		0.040000		-0.124090
0.135000		0.040000		-0.119418
0.136000		0.040000		-0.114948
0.137000		0.040000		-0.110670
0.138000		0.040000		-0.106575
0.139000		0.040000		-0.102654
0.140000		0.040000		-0.098898
0.141000		0.040000		-0.095300
0.142000		0.040000		-0.091852
0.143000		0.040000		-0.088547
0.144000		0.040000		-0.085377
0.145000		0.040000		-0.082338
0.146000		0.040000		-0.079423
0.147000		0.040000		-0.076626
0.148000		0.040000		-0.073942
0.149000		0.040000		-0.071366
0.150000		0.040000		-0.068892
0.151000		0.040000		-0.066517
0.152000		0.040000		-0.064236
0.153000		0.040000		-0.062044
0.154000		0.040000		-0.059939
0.155000		0.040000		-0.057915
0.156000		0.040000		-0.055971
0.157000		0.040000		-0.054101
0.158000		0.040000		-0.052303
0.159000		0.040000		-0.050574
0.160000		0.040000		-0.048912
0.161000		0.040000		-0.047312
0.162000		0.040000		-0.045773
0.163000		0.040000		-0.044291
0.164000		0.040000		-0.042866
0.165000		0.040000		-0.041493
0.166000		0.040000		-0.040172
0.167000		0.040000		-0.038899
0.168000		0.040000		-0.037673
0.169000		0.040000		-0.036493
0.170000		0.040000		-0.035355
0.171000		0.040000		-0.034259
0.172000		0.040000		-0.033203
0.173000		0.040000		-0.032185
0.174000		0.040000		-0.031203
0.175000		0.040000		-0.030257
0.176000		0.040000		-0.029345
0.177000		0.040000		-0.028464
0.178000		0.040000		-0.027615
0.179000		0.040000		-0.026796
0.180000		0.040000		-0.026006
0.181000		0.040000		-0.025243
