100
100
T [fm^-1]		muB [fm^-1]		c3_df14 [fm^4]
0.795758		0.054949		-23.656076
0.798182		0.054949		-22.879903
0.800606		0.054949		-22.132432
0.803030		0.054949		-21.412489
0.805455		0.054949		-20.718951
0.807879		0.054949		-20.050745
0.810303		0.054949		-19.406847
0.812727		0.054949		-18.786277
0.815152		0.054949		-18.188099
0.817576		0.054949		-17.611417
0.820000		0.054949		-17.055375
0.580000		0.082424		-977.940130
0.582424		0.082424		-927.807883
0.584848		0.082424		-880.527646
0.587273		0.082424		-835.921616
0.589697		0.082424		-793.824025
0.592121		0.082424		-754.080255
0.594545		0.082424		-716.546037
0.596970		0.082424		-681.086699
0.599394		0.082424		-647.576481
0.601818		0.082424		-615.897901
0.604242		0.082424		-585.941166
0.606667		0.082424		-557.603629
0.609091		0.082424		-530.789289
0.611515		0.082424		-505.408330
0.613939		0.082424		-481.376686
0.616364		0.082424		-458.615649
0.618788		0.082424		-437.051497
0.621212		0.082424		-416.615157
0.623636		0.082424		-397.241888
0.626061		0.082424		-378.870987
0.628485		0.082424		-361.445518
0.630909		0.082424		-344.912060
0.633333		0.082424		-329.220473
0.635758		0.082424		-314.323680
0.638182		0.082424		-300.177469
0.640606		0.082424		-286.740299
0.643030		0.082424		-273.973129
0.645455		0.082424		-261.839256
0.647879		0.082424		-250.304164
0.650303		0.082424		-239.335383
0.652727		0.082424		-228.902358
0.655152		0.082424		-218.976326
0.657576		0.082424		-209.530206
0.660000		0.082424		-200.538488
0.662424		0.082424		-191.977140
0.664848		0.082424		-183.823511
0.667273		0.082424		-176.056248
0.669697		0.082424		-168.655216
0.672121		0.082424		-161.601420
0.674545		0.082424		-154.876939
0.676970		0.082424		-148.464858
0.679394		0.082424		-142.349207
0.681818		0.082424		-136.514907
0.684242		0.082424		-130.947713
0.686667		0.082424		-125.634163
0.689091		0.082424		-120.561539
0.691515		0.082424		-115.717812
0.693939		0.082424		-111.091611
0.696364		0.082424		-106.672177
0.698788		0.082424		-102.449335
0.701212		0.082424		-98.413451
0.703636		0.082424		-94.555409
0.706061		0.082424		-90.866573
0.708485		0.082424		-87.338769
0.710909		0.082424		-83.964249
0.713333		0.082424		-80.735675
0.715758		0.082424		-77.646088
0.718182		0.082424		-74.688893
0.720606		0.082424		-71.857837
0.723030		0.082424		-69.146986
0.725455		0.082424		-66.550713
0.727879		0.082424		-64.063677
0.730303		0.082424		-61.680809
0.732727		0.082424		-59.397296
0.735152		0.082424		-57.208567
0.737576		0.082424		-55.110282
0.740000		0.082424		-53.098316
0.742424		0.082424		-51.168751
0.744848		0.082424		-49.317862
