100
100
T [fm^-1]		muB [fm^-1]		betabulk_dfce [fm^-4]
0.776364		0.054949		0.091364
0.778788		0.054949		0.093363
0.781212		0.054949		0.095401
0.783636		0.054949		0.097477
0.786061		0.054949		0.099592
0.788485		0.054949		0.101747
0.790909		0.054949		0.103943
0.793333		0.054949		0.106180
0.795758		0.054949		0.108459
0.798182		0.054949		0.110780
0.800606		0.054949		0.113145
0.803030		0.054949		0.115554
0.805455		0.054949		0.118007
0.807879		0.054949		0.120506
0.810303		0.054949		0.123050
0.812727		0.054949		0.125642
0.815152		0.054949		0.128281
0.817576		0.054949		0.130968
0.820000		0.054949		0.133705
0.580000		0.082424		0.012109
0.582424		0.082424		0.012468
0.584848		0.082424		0.012836
0.587273		0.082424		0.013213
0.589697		0.082424		0.013599
0.592121		0.082424		0.013994
0.594545		0.082424		0.014399
0.596970		0.082424		0.014814
0.599394		0.082424		0.015239
0.601818		0.082424		0.015674
0.604242		0.082424		0.016120
0.606667		0.082424		0.016575
0.609091		0.082424		0.017042
0.611515		0.082424		0.017520
0.613939		0.082424		0.018009
0.616364		0.082424		0.018509
0.618788		0.082424		0.019021
0.621212		0.082424		0.019545
0.623636		0.082424		0.020081
0.626061		0.082424		0.020629
0.628485		0.082424		0.021189
0.630909		0.082424		0.021763
0.633333		0.082424		0.022349
0.635758		0.082424		0.022949
0.638182		0.082424		0.023562
0.640606		0.082424		0.024189
0.643030		0.082424		0.024830
0.645455		0.082424		0.025486
0.647879		0.082424		0.026156
0.650303		0.082424		0.026840
0.652727		0.082424		0.027540
0.655152		0.082424		0.028255
0.657576		0.082424		0.028986
0.660000		0.082424		0.029733
0.662424		0.082424		0.030496
0.664848		0.082424		0.031275
0.667273		0.082424		0.032072
0.669697		0.082424		0.032886
0.672121		0.082424		0.033717
0.674545		0.082424		0.034566
0.676970		0.082424		0.035432
0.679394		0.082424		0.036318
0.681818		0.082424		0.037222
0.684242		0.082424		0.038145
0.686667		0.082424		0.039088
0.689091		0.082424		0.040051
0.691515		0.082424		0.041034
0.693939		0.082424		0.042037
0.696364		0.082424		0.043061
0.698788		0.082424		0.044107
0.701212		0.082424		0.045174
0.703636		0.082424		0.046263
0.706061		0.082424		0.047375
0.708485		0.082424		0.048509
0.710909		0.082424		0.049667
0.713333		0.082424		0.050848
0.715758		0.082424		0.052054
0.718182		0.082424		0.053284
0.720606		0.082424		0.054539
0.723030		0.082424		0.055819
0.725455		0.082424		0.057125
0.727879		0.082424		0.058457
0.730303		0.082424		0.059816
0.732727		0.082424		0.061202
0.735152		0.082424		0.062616
0.737576		0.082424		0.064058
0.740000		0.082424		0.065528
0.742424		0.082424		0.067028
0.744848		0.082424		0.068557
0.747273		0.082424		0.070116
0.749697		0.082424		0.071706
0.752121		0.082424		0.073327
0.754545		0.082424		0.074980
0.756970		0.082424		0.076665
0.759394		0.082424		0.078382
0.761818		0.082424		0.080133
0.764242		0.082424		0.081918
0.766667		0.082424		0.083737
0.769091		0.082424		0.085591
0.771515		0.082424		0.087481
0.773939		0.082424		0.089407
0.776364		0.082424		0.091370
0.778788		0.082424		0.093370
0.781212		0.082424		0.095408
0.783636		0.082424		0.097485
0.786061		0.082424		0.099601
0.788485		0.082424		0.101757
0.790909		0.082424		0.103953
0.793333		0.082424		0.106191
0.795758		0.082424		0.108471
0.798182		0.082424		0.110793
0.800606		0.082424		0.113159
0.803030		0.082424		0.115568
0.805455		0.082424		0.118022
0.807879		0.082424		0.120522
0.810303		0.082424		0.123067
0.812727		0.082424		0.125660
0.815152		0.082424		0.128300
0.817576		0.082424		0.130988
0.820000		0.082424		0.133726
0.580000		0.109899		0.012101
0.582424		0.109899		0.012460
0.584848		0.109899		0.012828
0.587273		0.109899		0.013204
0.589697		0.109899		0.013590
0.592121		0.109899		0.013986
0.594545		0.109899		0.014391
0.596970		0.109899		0.014805
0.599394		0.109899		0.015230
0.601818		0.109899		0.015665
0.604242		0.109899		0.016110
0.606667		0.109899		0.016566
0.609091		0.109899		0.017033
0.611515		0.109899		0.017510
0.613939		0.109899		0.017999
0.616364		0.109899		0.018499
0.618788		0.109899		0.019011
0.621212		0.109899		0.019535
0.623636		0.109899		0.020071
0.626061		0.109899		0.020619
0.628485		0.109899		0.021179
0.630909		0.109899		0.021753
0.633333		0.109899		0.022339
0.635758		0.109899		0.022939
0.638182		0.109899		0.023552
0.640606		0.109899		0.024179
0.643030		0.109899		0.024820
0.645455		0.109899		0.025475
0.647879		0.109899		0.026145
0.650303		0.109899		0.026830
0.652727		0.109899		0.027530
0.655152		0.109899		0.028245
0.657576		0.109899		0.028976
0.660000		0.109899		0.029723
0.662424		0.109899		0.030486
0.664848		0.109899		0.031265
0.667273		0.109899		0.032062
0.669697		0.109899		0.032875
0.672121		0.109899		0.033707
0.674545		0.109899		0.034556
0.676970		0.109899		0.035423
0.679394		0.109899		0.036308
0.681818		0.109899		0.037213
0.684242		0.109899		0.038136
0.686667		0.109899		0.039079
0.689091		0.109899		0.040042
0.691515		0.109899		0.041025
0.693939		0.109899		0.042028
0.696364		0.109899		0.043053
0.698788		0.109899		0.044099
0.701212		0.109899		0.045166
0.703636		0.109899		0.046255
