100
100
T [fm^-1]		muB [fm^-1]		betapi_dfce [fm^-4]
0.594545		0.082424		0.036849
0.596970		0.082424		0.037751
0.599394		0.082424		0.038674
0.601818		0.082424		0.039618
0.604242		0.082424		0.040584
0.606667		0.082424		0.041571
0.609091		0.082424		0.042581
0.611515		0.082424		0.043614
0.613939		0.082424		0.044670
0.616364		0.082424		0.045750
0.618788		0.082424		0.046855
0.621212		0.082424		0.047984
0.623636		0.082424		0.049139
0.626061		0.082424		0.050321
0.628485		0.082424		0.051528
0.630909		0.082424		0.052764
0.633333		0.082424		0.054027
0.635758		0.082424		0.055318
0.638182		0.082424		0.056638
0.640606		0.082424		0.057989
0.643030		0.082424		0.059369
0.645455		0.082424		0.060781
0.647879		0.082424		0.062224
0.650303		0.082424		0.063699
0.652727		0.082424		0.065208
0.655152		0.082424		0.066750
0.657576		0.082424		0.068327
0.660000		0.082424		0.069939
0.662424		0.082424		0.071587
0.664848		0.082424		0.073272
0.667273		0.082424		0.074994
0.669697		0.082424		0.076754
0.672121		0.082424		0.078554
0.674545		0.082424		0.080394
0.676970		0.082424		0.082274
0.679394		0.082424		0.084196
0.681818		0.082424		0.086161
0.684242		0.082424		0.088169
0.686667		0.082424		0.090222
0.689091		0.082424		0.092320
0.691515		0.082424		0.094464
0.693939		0.082424		0.096655
0.696364		0.082424		0.098895
0.698788		0.082424		0.101183
0.701212		0.082424		0.103522
0.703636		0.082424		0.105912
0.706061		0.082424		0.108355
0.708485		0.082424		0.110851
0.710909		0.082424		0.113402
0.713333		0.082424		0.116008
0.715758		0.082424		0.118671
0.718182		0.082424		0.121391
0.720606		0.082424		0.124171
0.723030		0.082424		0.127012
0.725455		0.082424		0.129913
0.727879		0.082424		0.132878
0.730303		0.082424		0.135907
0.732727		0.082424		0.139001
0.735152		0.082424		0.142162
0.737576		0.082424		0.145390
0.740000		0.082424		0.148689
0.742424		0.082424		0.152058
0.744848		0.082424		0.155499
0.747273		0.082424		0.159013
0.749697		0.082424		0.162603
0.752121		0.082424		0.166269
0.754545		0.082424		0.170014
0.756970		0.082424		0.173838
0.759394		0.082424		0.177743
0.761818		0.082424		0.181731
0.764242		0.082424		0.185803
0.766667		0.082424		0.189962
0.769091		0.082424		0.194208
0.771515		0.082424		0.198543
0.773939		0.082424		0.202970
0.776364		0.082424		0.207489
0.778788		0.082424		0.212103
0.781212		0.082424		0.216813
0.783636		0.082424		0.221622
0.786061		0.082424		0.226531
0.788485		0.082424		0.231542
0.790909		0.082424		0.236657
0.793333		0.082424		0.241878
0.795758		0.082424		0.247207
0.798182		0.082424		0.252646
0.800606		0.082424		0.258197
0.803030		0.082424		0.263862
0.805455		0.082424		0.269643
0.807879		0.082424		0.275543
0.810303		0.082424		0.281563
0.812727		0.082424		0.287706
0.815152		0.082424		0.293975
0.817576		0.082424		0.300370
0.820000		0.082424		0.306895
0.580000		0.109899		0.031849
0.582424		0.109899		0.032637
0.584848		0.109899		0.033444
0.587273		0.109899		0.034269
0.589697		0.109899		0.035112
0.592121		0.109899		0.035976
0.594545		0.109899		0.036858
0.596970		0.109899		0.037761
0.599394		0.109899		0.038685
0.601818		0.109899		0.039629
0.604242		0.109899		0.040595
0.606667		0.109899		0.041583
0.609091		0.109899		0.042593
0.611515		0.109899		0.043627
0.613939		0.109899		0.044683
0.616364		0.109899		0.045764
0.618788		0.109899		0.046869
0.621212		0.109899		0.047999
0.623636		0.109899		0.049155
0.626061		0.109899		0.050337
0.628485		0.109899		0.051546
0.630909		0.109899		0.052781
0.633333		0.109899		0.054045
0.635758		0.109899		0.055337
0.638182		0.109899		0.056658
0.640606		0.109899		0.058009
0.643030		0.109899		0.059391
0.645455		0.109899		0.060803
