100
100
T [fm^-1]		muB [fm^-1]		F_dfce [fm^-1]
0.679394		0.164848		-0.112677
0.681818		0.164848		-0.112785
0.684242		0.164848		-0.112896
0.686667		0.164848		-0.113007
0.689091		0.164848		-0.113121
0.691515		0.164848		-0.113237
0.693939		0.164848		-0.113354
0.696364		0.164848		-0.113473
0.698788		0.164848		-0.113594
0.701212		0.164848		-0.113717
0.703636		0.164848		-0.113842
0.706061		0.164848		-0.113969
0.708485		0.164848		-0.114097
0.710909		0.164848		-0.114228
0.713333		0.164848		-0.114361
0.715758		0.164848		-0.114496
0.718182		0.164848		-0.114633
0.720606		0.164848		-0.114772
0.723030		0.164848		-0.114913
0.725455		0.164848		-0.115057
0.727879		0.164848		-0.115202
0.730303		0.164848		-0.115350
0.732727		0.164848		-0.115500
0.735152		0.164848		-0.115652
0.737576		0.164848		-0.115806
0.740000		0.164848		-0.115962
0.742424		0.164848		-0.116121
0.744848		0.164848		-0.116282
0.747273		0.164848		-0.116445
0.749697		0.164848		-0.116610
0.752121		0.164848		-0.116778
0.754545		0.164848		-0.116948
0.756970		0.164848		-0.117120
0.759394		0.164848		-0.117294
0.761818		0.164848		-0.117471
0.764242		0.164848		-0.117650
0.766667		0.164848		-0.117831
0.769091		0.164848		-0.118015
0.771515		0.164848		-0.118201
0.773939		0.164848		-0.118389
0.776364		0.164848		-0.118580
0.778788		0.164848		-0.118773
0.781212		0.164848		-0.118968
0.783636		0.164848		-0.119165
0.786061		0.164848		-0.119365
0.788485		0.164848		-0.119567
0.790909		0.164848		-0.119771
0.793333		0.164848		-0.119978
0.795758		0.164848		-0.120187
0.798182		0.164848		-0.120398
0.800606		0.164848		-0.120612
0.803030		0.164848		-0.120828
0.805455		0.164848		-0.121046
0.807879		0.164848		-0.121266
0.810303		0.164848		-0.121489
0.812727		0.164848		-0.121714
0.815152		0.164848		-0.121941
0.817576		0.164848		-0.122171
0.820000		0.164848		-0.122403
0.580000		0.192323		-0.109185
0.582424		0.192323		-0.109270
0.584848		0.192323		-0.109355
0.587273		0.192323		-0.109439
0.589697		0.192323		-0.109522
0.592121		0.192323		-0.109605
0.594545		0.192323		-0.109687
0.596970		0.192323		-0.109769
0.599394		0.192323		-0.109850
0.601818		0.192323		-0.109931
0.604242		0.192323		-0.110011
0.606667		0.192323		-0.110092
0.609091		0.192323		-0.110172
0.611515		0.192323		-0.110253
0.613939		0.192323		-0.110334
0.616364		0.192323		-0.110414
0.618788		0.192323		-0.110495
0.621212		0.192323		-0.110577
0.623636		0.192323		-0.110659
0.626061		0.192323		-0.110741
0.628485		0.192323		-0.110823
0.630909		0.192323		-0.110907
0.633333		0.192323		-0.110991
0.635758		0.192323		-0.111075
0.638182		0.192323		-0.111161
0.640606		0.192323		-0.111247
0.643030		0.192323		-0.111334
0.645455		0.192323		-0.111422
0.647879		0.192323		-0.111512
0.650303		0.192323		-0.111602
0.652727		0.192323		-0.111693
0.655152		0.192323		-0.111786
0.657576		0.192323		-0.111879
0.660000		0.192323		-0.111974
0.662424		0.192323		-0.112071
0.664848		0.192323		-0.112168
0.667273		0.192323		-0.112267
0.669697		0.192323		-0.112368
0.672121		0.192323		-0.112470
0.674545		0.192323		-0.112574
