101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.175000		0.030000		-0.034909
0.176000		0.030000		-0.033639
0.177000		0.030000		-0.032426
0.178000		0.030000		-0.031267
0.179000		0.030000		-0.030161
0.180000		0.030000		-0.029103
0.181000		0.030000		-0.028092
0.182000		0.030000		-0.027124
0.183000		0.030000		-0.026199
0.184000		0.030000		-0.025313
0.185000		0.030000		-0.024464
0.186000		0.030000		-0.023652
0.187000		0.030000		-0.022873
0.188000		0.030000		-0.022127
0.189000		0.030000		-0.021412
0.190000		0.030000		-0.020725
0.191000		0.030000		-0.020067
0.192000		0.030000		-0.019435
0.193000		0.030000		-0.018828
0.194000		0.030000		-0.018246
0.195000		0.030000		-0.017686
0.196000		0.030000		-0.017148
0.197000		0.030000		-0.016631
0.198000		0.030000		-0.016134
0.199000		0.030000		-0.015656
0.200000		0.030000		-0.015196
0.100000		0.040000		-2.716566
0.101000		0.040000		-2.477117
0.102000		0.040000		-2.262301
0.103000		0.040000		-2.069248
0.104000		0.040000		-1.895455
0.105000		0.040000		-1.738742
0.106000		0.040000		-1.597203
0.107000		0.040000		-1.469167
0.108000		0.040000		-1.353171
0.109000		0.040000		-1.247925
0.110000		0.040000		-1.152296
0.111000		0.040000		-1.065282
0.112000		0.040000		-0.985999
0.113000		0.040000		-0.913664
0.114000		0.040000		-0.847581
0.115000		0.040000		-0.787134
0.116000		0.040000		-0.731773
0.117000		0.040000		-0.681011
0.118000		0.040000		-0.634409
0.119000		0.040000		-0.591578
0.120000		0.040000		-0.552169
0.121000		0.040000		-0.515869
0.122000		0.040000		-0.482396
0.123000		0.040000		-0.451499
0.124000		0.040000		-0.422950
0.125000		0.040000		-0.396545
0.126000		0.040000		-0.372098
0.127000		0.040000		-0.349444
0.128000		0.040000		-0.328431
0.129000		0.040000		-0.308923
0.130000		0.040000		-0.290795
0.131000		0.040000		-0.273937
0.132000		0.040000		-0.258244
0.133000		0.040000		-0.243625
0.134000		0.040000		-0.229995
0.135000		0.040000		-0.217278
0.136000		0.040000		-0.205402
0.137000		0.040000		-0.194303
0.138000		0.040000		-0.183924
0.139000		0.040000		-0.174209
0.140000		0.040000		-0.165111
0.141000		0.040000		-0.156584
0.142000		0.040000		-0.148586
0.143000		0.040000		-0.141081
0.144000		0.040000		-0.134031
0.145000		0.040000		-0.127407
0.146000		0.040000		-0.121177
0.147000		0.040000		-0.115316
0.148000		0.040000		-0.109797
0.149000		0.040000		-0.104598
0.150000		0.040000		-0.099696
0.151000		0.040000		-0.095074
0.152000		0.040000		-0.090711
0.153000		0.040000		-0.086591
0.154000		0.040000		-0.082699
0.155000		0.040000		-0.079019
0.156000		0.040000		-0.075539
0.157000		0.040000		-0.072246
0.158000		0.040000		-0.069127
0.159000		0.040000		-0.066174
0.160000		0.040000		-0.063374
0.161000		0.040000		-0.060719
0.162000		0.040000		-0.058201
0.163000		0.040000		-0.055810
0.164000		0.040000		-0.053541
0.165000		0.040000		-0.051384
0.166000		0.040000		-0.049334
0.167000		0.040000		-0.047385
0.168000		0.040000		-0.045531
0.169000		0.040000		-0.043767
0.170000		0.040000		-0.042086
0.171000		0.040000		-0.040486
0.172000		0.040000		-0.038961
0.173000		0.040000		-0.037507
0.174000		0.040000		-0.036120
0.175000		0.040000		-0.034797
0.176000		0.040000		-0.033535
0.177000		0.040000		-0.032329
0.178000		0.040000		-0.031177
0.179000		0.040000		-0.030077
0.180000		0.040000		-0.029025
0.181000		0.040000		-0.028019
0.182000		0.040000		-0.027056
0.183000		0.040000		-0.026135
0.184000		0.040000		-0.025254
0.185000		0.040000		-0.024410
0.186000		0.040000		-0.023601
0.187000		0.040000		-0.022826
0.188000		0.040000		-0.022083
0.189000		0.040000		-0.021370
0.190000		0.040000		-0.020687
0.191000		0.040000		-0.020031
0.192000		0.040000		-0.019402
0.193000		0.040000		-0.018797
0.194000		0.040000		-0.018217
0.195000		0.040000		-0.017659
0.196000		0.040000		-0.017123
0.197000		0.040000		-0.016608
0.198000		0.040000		-0.016112
0.199000		0.040000		-0.015636
0.200000		0.040000		-0.015177
0.100000		0.050000		-2.615131
0.101000		0.050000		-2.386899
0.102000		0.050000		-2.181945
0.103000		0.050000		-1.997574
0.104000		0.050000		-1.831440
0.105000		0.050000		-1.681493
0.106000		0.050000		-1.545940
0.107000		0.050000		-1.423209
0.108000		0.050000		-1.311919
0.109000		0.050000		-1.210855
0.110000		0.050000		-1.118947
0.111000		0.050000		-1.035249
0.112000		0.050000		-0.958924
0.113000		0.050000		-0.889230
0.114000		0.050000		-0.825510
0.115000		0.050000		-0.767178
0.116000		0.050000		-0.713713
0.117000		0.050000		-0.664652
0.118000		0.050000		-0.619578
0.119000		0.050000		-0.578121
0.120000		0.050000		-0.539948
0.121000		0.050000		-0.504761
0.122000		0.050000		-0.472293
0.123000		0.050000		-0.442303
0.124000		0.050000		-0.414573
0.125000		0.050000		-0.388908
0.126000		0.050000		-0.365132
0.127000		0.050000		-0.343085
0.128000		0.050000		-0.322622
0.129000		0.050000		-0.303613
0.130000		0.050000		-0.285938
0.131000		0.050000		-0.269491
0.132000		0.050000		-0.254173
0.133000		0.050000		-0.239894
0.134000		0.050000		-0.226575
0.135000		0.050000		-0.214139
0.136000		0.050000		-0.202521
0.137000		0.050000		-0.191657
0.138000		0.050000		-0.181492
0.139000		0.050000		-0.171974
0.140000		0.050000		-0.163055
0.141000		0.050000		-0.154691
0.142000		0.050000		-0.146843
0.143000		0.050000		-0.139475
0.144000		0.050000		-0.132551
0.145000		0.050000		-0.126042
0.146000		0.050000		-0.119918
0.147000		0.050000		-0.114154
0.148000		0.050000		-0.108724
0.149000		0.050000		-0.103606
0.150000		0.050000		-0.098780
0.151000		0.050000		-0.094227
0.152000		0.050000		-0.089927
0.153000		0.050000		-0.085866
0.154000		0.050000		-0.082028
0.155000		0.050000		-0.078398
0.156000		0.050000		-0.074964
0.157000		0.050000		-0.071712
0.158000		0.050000		-0.068633
0.159000		0.050000		-0.065715
0.160000		0.050000		-0.062949
0.161000		0.050000		-0.060325
0.162000		0.050000		-0.057835
0.163000		0.050000		-0.055471
0.164000		0.050000		-0.053225
0.165000		0.050000		-0.051091
0.166000		0.050000		-0.049062
0.167000		0.050000		-0.047132
0.168000		0.050000		-0.045296
0.169000		0.050000		-0.043548
0.170000		0.050000		-0.041883
0.171000		0.050000		-0.040297
0.172000		0.050000		-0.038785
0.173000		0.050000		-0.037343
0.174000		0.050000		-0.035968
0.175000		0.050000		-0.034655
0.176000		0.050000		-0.033402
0.177000		0.050000		-0.032206
0.178000		0.050000		-0.031062
0.179000		0.050000		-0.029970
0.180000		0.050000		-0.028925
0.181000		0.050000		-0.027926
0.182000		0.050000		-0.026970
0.183000		0.050000		-0.026055
0.184000		0.050000		-0.025179
0.185000		0.050000		-0.024339
0.186000		0.050000		-0.023535
0.187000		0.050000		-0.022765
0.188000		0.050000		-0.022026
0.189000		0.050000		-0.021317
0.190000		0.050000		-0.020638
0.191000		0.050000		-0.019985
0.192000		0.050000		-0.019359
0.193000		0.050000		-0.018757
0.194000		0.050000		-0.018180
0.195000		0.050000		-0.017625
0.196000		0.050000		-0.017091
0.197000		0.050000		-0.016578
0.198000		0.050000		-0.016085
0.199000		0.050000		-0.015610
0.200000		0.050000		-0.015153
0.100000		0.060000		-2.499744
0.101000		0.060000		-2.284114
0.102000		0.060000		-2.090256
0.103000		0.060000		-1.915672
0.104000		0.060000		-1.758183
0.105000		0.060000		-1.615886
0.106000		0.060000		-1.487111
0.107000		0.060000		-1.370395
0.108000		0.060000		-1.264451
0.109000		0.060000		-1.168144
0.110000		0.060000		-1.080475
0.111000		0.060000		-1.000559
0.112000		0.060000		-0.927612
0.113000		0.060000		-0.860939
0.114000		0.060000		-0.799925
0.115000		0.060000		-0.744018
0.116000		0.060000		-0.692730
0.117000		0.060000		-0.645624
0.118000		0.060000		-0.602308
0.119000		0.060000		-0.562434
0.120000		0.060000		-0.525688
0.121000		0.060000		-0.491788
0.122000		0.060000		-0.460482
0.123000		0.060000		-0.431541
0.124000		0.060000		-0.404760
0.125000		0.060000		-0.379955
0.126000		0.060000		-0.356957
0.127000		0.060000		-0.335615
0.128000		0.060000		-0.315793
0.129000		0.060000		-0.297365
0.130000		0.060000		-0.280219
0.131000		0.060000		-0.264252
0.132000		0.060000		-0.249371
0.133000		0.060000		-0.235491
0.134000		0.060000		-0.222534
0.135000		0.060000		-0.210429
0.136000		0.060000		-0.199113
0.137000		0.060000		-0.188525
0.138000		0.060000		-0.178612
0.139000		0.060000		-0.169324
0.140000		0.060000		-0.160615
0.141000		0.060000		-0.152444
0.142000		0.060000		-0.144773
0.143000		0.060000		-0.137566
0.144000		0.060000		-0.130791
0.145000		0.060000		-0.124418
0.146000		0.060000		-0.118419
0.147000		0.060000		-0.112769
0.148000		0.060000		-0.107445
0.149000		0.060000		-0.102424
0.150000		0.060000		-0.097687
0.151000		0.060000		-0.093215
0.152000		0.060000		-0.088992
0.153000		0.060000		-0.085000
0.154000		0.060000		-0.081226
0.155000		0.060000		-0.077655
0.156000		0.060000		-0.074275
0.157000		0.060000		-0.071074
0.158000		0.060000		-0.068041
0.159000		0.060000		-0.065166
0.160000		0.060000		-0.062439
0.161000		0.060000		-0.059852
0.162000		0.060000		-0.057396
0.163000		0.060000		-0.055063
0.164000		0.060000		-0.052846
0.165000		0.060000		-0.050739
0.166000		0.060000		-0.048735
0.167000		0.060000		-0.046828
0.168000		0.060000		-0.045013
0.169000		0.060000		-0.043284
0.170000		0.060000		-0.041638
0.171000		0.060000		-0.040069
0.172000		0.060000		-0.038572
0.173000		0.060000		-0.037145
0.174000		0.060000		-0.035784
0.175000		0.060000		-0.034484
0.176000		0.060000		-0.033243
0.177000		0.060000		-0.032057
0.178000		0.060000		-0.030924
0.179000		0.060000		-0.029841
0.180000		0.060000		-0.028805
0.181000		0.060000		-0.027814
0.182000		0.060000		-0.026865
0.183000		0.060000		-0.025957
0.184000		0.060000		-0.025088
0.185000		0.060000		-0.024255
0.186000		0.060000		-0.023457
0.187000		0.060000		-0.022691
0.188000		0.060000		-0.021957
0.189000		0.060000		-0.021253
0.190000		0.060000		-0.020578
0.191000		0.060000		-0.019930
0.192000		0.060000		-0.019307
0.193000		0.060000		-0.018709
0.194000		0.060000		-0.018135
0.195000		0.060000		-0.017583
0.196000		0.060000		-0.017052
0.197000		0.060000		-0.016542
0.198000		0.060000		-0.016051
0.199000		0.060000		-0.015578
0.200000		0.060000		-0.015124
0.100000		0.070000		-2.374264
0.101000		0.070000		-2.172144
0.102000		0.070000		-1.990204
0.103000		0.070000		-1.826151
0.104000		0.070000		-1.677982
0.105000		0.070000		-1.543944
0.106000		0.070000		-1.422501
0.107000		0.070000		-1.312303
0.108000		0.070000		-1.212160
0.109000		0.070000		-1.121024
0.110000		0.070000		-1.037970
0.111000		0.070000		-0.962178
0.112000		0.070000		-0.892920
0.113000		0.070000		-0.829553
0.114000		0.070000		-0.771502
0.115000		0.070000		-0.718256
0.116000		0.070000		-0.669359
0.117000		0.070000		-0.624404
0.118000		0.070000		-0.583027
0.119000		0.070000		-0.544899
0.120000		0.070000		-0.509729
0.121000		0.070000		-0.477252
0.122000		0.070000		-0.447232
0.123000		0.070000		-0.419455
0.124000		0.070000		-0.393729
0.125000		0.070000		-0.369878
0.126000		0.070000		-0.347747
0.127000		0.070000		-0.327191
0.128000		0.070000		-0.308083
0.129000		0.070000		-0.290305
0.130000		0.070000		-0.273750
0.131000		0.070000		-0.258321
0.132000		0.070000		-0.243930
0.133000		0.070000		-0.230496
0.134000		0.070000		-0.217947
0.135000		0.070000		-0.206214
0.136000		0.070000		-0.195237
0.137000		0.070000		-0.184960
0.138000		0.070000		-0.175331
0.139000		0.070000		-0.166303
0.140000		0.070000		-0.157832
0.141000		0.070000		-0.149879
0.142000		0.070000		-0.142408
0.143000		0.070000		-0.135384
0.144000		0.070000		-0.128777
0.145000		0.070000		-0.122559
0.146000		0.070000		-0.116702
0.147000		0.070000		-0.111182
0.148000		0.070000		-0.105977
0.149000		0.070000		-0.101067
0.150000		0.070000		-0.096431
0.151000		0.070000		-0.092053
0.152000		0.070000		-0.087916
0.153000		0.070000		-0.084003
0.154000		0.070000		-0.080302
0.155000		0.070000		-0.076799
0.156000		0.070000		-0.073481
0.157000		0.070000		-0.070338
0.158000		0.070000		-0.067358
0.159000		0.070000		-0.064532
0.160000		0.070000		-0.061851
0.161000		0.070000		-0.059305
0.162000		0.070000		-0.056888
0.163000		0.070000		-0.054591
0.164000		0.070000		-0.052407
0.165000		0.070000		-0.050331
0.166000		0.070000		-0.048355
0.167000		0.070000		-0.046475
0.168000		0.070000		-0.044685
0.169000		0.070000		-0.042979
0.170000		0.070000		-0.041354
0.171000		0.070000		-0.039804
0.172000		0.070000		-0.038326
0.173000		0.070000		-0.036916
0.174000		0.070000		-0.035570
0.175000		0.070000		-0.034285
0.176000		0.070000		-0.033057
0.177000		0.070000		-0.031884
0.178000		0.070000		-0.030763
0.179000		0.070000		-0.029690
0.180000		0.070000		-0.028665
0.181000		0.070000		-0.027683
0.182000		0.070000		-0.026744
0.183000		0.070000		-0.025844
0.184000		0.070000		-0.024982
0.185000		0.070000		-0.024156
0.186000		0.070000		-0.023364
0.187000		0.070000		-0.022605
0.188000		0.070000		-0.021877
0.189000		0.070000		-0.021179
0.190000		0.070000		-0.020508
0.191000		0.070000		-0.019865
0.192000		0.070000		-0.019247
0.193000		0.070000		-0.018653
0.194000		0.070000		-0.018082
0.195000		0.070000		-0.017534
0.196000		0.070000		-0.017006
0.197000		0.070000		-0.016499
0.198000		0.070000		-0.016011
0.199000		0.070000		-0.015542
0.200000		0.070000		-0.015090
0.100000		0.080000		-2.242376
0.101000		0.080000		-2.054237
0.102000		0.080000		-1.884654
0.103000		0.080000		-1.731540
0.104000		0.080000		-1.593070
0.105000		0.080000		-1.467646
0.106000		0.080000		-1.353862
0.107000		0.080000		-1.250485
0.108000		0.080000		-1.156424
0.109000		0.080000		-1.070719
0.110000		0.080000		-0.992521
0.111000		0.080000		-0.921074
0.112000		0.080000		-0.855712
0.113000		0.080000		-0.795839
0.114000		0.080000		-0.740927
0.115000		0.080000		-0.690504
0.116000		0.080000		-0.644148
0.117000		0.080000		-0.601482
0.118000		0.080000		-0.562169
0.119000		0.080000		-0.525905
0.120000		0.080000		-0.492419
0.121000		0.080000		-0.461466
0.122000		0.080000		-0.432825
0.123000		0.080000		-0.406298
0.124000		0.080000		-0.381704
0.125000		0.080000		-0.358882
0.126000		0.080000		-0.337684
0.127000		0.080000		-0.317978
