101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.136000		0.040000		0.439647
0.137000		0.040000		0.466352
0.138000		0.040000		0.494339
0.139000		0.040000		0.523653
0.140000		0.040000		0.554338
0.141000		0.040000		0.586440
0.142000		0.040000		0.620007
0.143000		0.040000		0.655086
0.144000		0.040000		0.691726
0.145000		0.040000		0.729977
0.146000		0.040000		0.769889
0.147000		0.040000		0.811512
0.148000		0.040000		0.854900
0.149000		0.040000		0.900104
0.150000		0.040000		0.947178
0.151000		0.040000		0.996177
0.152000		0.040000		1.047156
0.153000		0.040000		1.100171
0.154000		0.040000		1.155278
0.155000		0.040000		1.212535
0.156000		0.040000		1.272000
0.157000		0.040000		1.333732
0.158000		0.040000		1.397791
0.159000		0.040000		1.464236
0.160000		0.040000		1.533129
0.161000		0.040000		1.604531
0.162000		0.040000		1.678505
0.163000		0.040000		1.755113
0.164000		0.040000		1.834420
0.165000		0.040000		1.916488
0.166000		0.040000		2.001383
0.167000		0.040000		2.089171
0.168000		0.040000		2.179916
0.169000		0.040000		2.273685
0.170000		0.040000		2.370546
0.171000		0.040000		2.470564
0.172000		0.040000		2.573809
0.173000		0.040000		2.680349
0.174000		0.040000		2.790251
0.175000		0.040000		2.903586
0.176000		0.040000		3.020423
0.177000		0.040000		3.140831
0.178000		0.040000		3.264881
0.179000		0.040000		3.392644
0.180000		0.040000		3.524190
0.181000		0.040000		3.659591
0.182000		0.040000		3.798918
0.183000		0.040000		3.942242
0.184000		0.040000		4.089636
0.185000		0.040000		4.241172
0.186000		0.040000		4.396922
0.187000		0.040000		4.556958
0.188000		0.040000		4.721354
0.189000		0.040000		4.890182
0.190000		0.040000		5.063516
0.191000		0.040000		5.241426
0.192000		0.040000		5.423988
0.193000		0.040000		5.611274
0.194000		0.040000		5.803358
0.195000		0.040000		6.000311
0.196000		0.040000		6.202208
0.197000		0.040000		6.409121
0.198000		0.040000		6.621123
0.199000		0.040000		6.838288
0.200000		0.040000		7.060688
0.100000		0.050000		0.029446
0.101000		0.050000		0.032452
0.102000		0.050000		0.035707
0.103000		0.050000		0.039226
0.104000		0.050000		0.043024
0.105000		0.050000		0.047120
0.106000		0.050000		0.051530
0.107000		0.050000		0.056273
0.108000		0.050000		0.061367
0.109000		0.050000		0.066833
0.110000		0.050000		0.072690
0.111000		0.050000		0.078960
0.112000		0.050000		0.085664
0.113000		0.050000		0.092825
0.114000		0.050000		0.100467
0.115000		0.050000		0.108612
0.116000		0.050000		0.117287
0.117000		0.050000		0.126516
0.118000		0.050000		0.136326
0.119000		0.050000		0.146745
0.120000		0.050000		0.157800
0.121000		0.050000		0.169520
0.122000		0.050000		0.181934
0.123000		0.050000		0.195074
0.124000		0.050000		0.208970
0.125000		0.050000		0.223655
0.126000		0.050000		0.239161
0.127000		0.050000		0.255522
0.128000		0.050000		0.272773
0.129000		0.050000		0.290950
0.130000		0.050000		0.310088
0.131000		0.050000		0.330226
0.132000		0.050000		0.351401
0.133000		0.050000		0.373651
0.134000		0.050000		0.397018
0.135000		0.050000		0.421541
0.136000		0.050000		0.447263
0.137000		0.050000		0.474225
0.138000		0.050000		0.502470
0.139000		0.050000		0.532044
0.140000		0.050000		0.562991
0.141000		0.050000		0.595356
0.142000		0.050000		0.629187
0.143000		0.050000		0.664531
0.144000		0.050000		0.701436
0.145000		0.050000		0.739952
0.146000		0.050000		0.780129
0.147000		0.050000		0.822017
0.148000		0.050000		0.865669
