101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.139000		0.050000		24.070648
0.140000		0.050000		24.576667
0.141000		0.050000		25.090015
0.142000		0.050000		25.610807
0.143000		0.050000		26.139162
0.144000		0.050000		26.675198
0.145000		0.050000		27.219035
0.146000		0.050000		27.770792
0.147000		0.050000		28.330590
0.148000		0.050000		28.898550
0.149000		0.050000		29.474793
0.150000		0.050000		30.059441
0.151000		0.050000		30.652614
0.152000		0.050000		31.254434
0.153000		0.050000		31.865020
0.154000		0.050000		32.484493
0.155000		0.050000		33.112972
0.156000		0.050000		33.750575
0.157000		0.050000		34.397420
0.158000		0.050000		35.053622
0.159000		0.050000		35.719297
0.160000		0.050000		36.394560
0.161000		0.050000		37.079521
0.162000		0.050000		37.774292
0.163000		0.050000		38.478982
0.164000		0.050000		39.193698
0.165000		0.050000		39.918546
0.166000		0.050000		40.653630
0.167000		0.050000		41.399050
0.168000		0.050000		42.154905
0.169000		0.050000		42.921294
0.170000		0.050000		43.698311
0.171000		0.050000		44.486047
0.172000		0.050000		45.284594
0.173000		0.050000		46.094037
0.174000		0.050000		46.914463
0.175000		0.050000		47.745953
0.176000		0.050000		48.588586
0.177000		0.050000		49.442440
0.178000		0.050000		50.307587
0.179000		0.050000		51.184099
0.180000		0.050000		52.072044
0.181000		0.050000		52.971486
0.182000		0.050000		53.882489
0.183000		0.050000		54.805111
0.184000		0.050000		55.739407
0.185000		0.050000		56.685432
0.186000		0.050000		57.643234
0.187000		0.050000		58.612861
0.188000		0.050000		59.594355
0.189000		0.050000		60.587757
0.190000		0.050000		61.593105
0.191000		0.050000		62.610432
0.192000		0.050000		63.639769
0.193000		0.050000		64.681144
0.194000		0.050000		65.734581
0.195000		0.050000		66.800100
0.196000		0.050000		67.877721
0.197000		0.050000		68.967457
0.198000		0.050000		70.069320
0.199000		0.050000		71.183319
0.200000		0.050000		72.309457
0.100000		0.060000		9.058272
0.101000		0.060000		9.339575
0.102000		0.060000		9.626018
0.103000		0.060000		9.917596
0.104000		0.060000		10.214304
0.105000		0.060000		10.516140
0.106000		0.060000		10.823106
0.107000		0.060000		11.135207
0.108000		0.060000		11.452449
0.109000		0.060000		11.774845
0.110000		0.060000		12.102408
0.111000		0.060000		12.435158
0.112000		0.060000		12.773116
0.113000		0.060000		13.116308
0.114000		0.060000		13.464764
0.115000		0.060000		13.818518
0.116000		0.060000		14.177606
0.117000		0.060000		14.542070
0.118000		0.060000		14.911956
0.119000		0.060000		15.287313
0.120000		0.060000		15.668194
0.121000		0.060000		16.054657
0.122000		0.060000		16.446762
0.123000		0.060000		16.844574
0.124000		0.060000		17.248162
0.125000		0.060000		17.657597
0.126000		0.060000		18.072957
0.127000		0.060000		18.494320
