101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.130000		0.680000		-0.179745
0.131000		0.680000		-0.179527
0.132000		0.680000		-0.179332
0.133000		0.680000		-0.179158
0.134000		0.680000		-0.179006
0.135000		0.680000		-0.178874
0.136000		0.680000		-0.178764
0.137000		0.680000		-0.178673
0.138000		0.680000		-0.178602
0.139000		0.680000		-0.178550
0.140000		0.680000		-0.178517
0.141000		0.680000		-0.178502
0.142000		0.680000		-0.178505
0.143000		0.680000		-0.178525
0.144000		0.680000		-0.178562
0.145000		0.680000		-0.178616
0.146000		0.680000		-0.178686
0.147000		0.680000		-0.178771
0.148000		0.680000		-0.178872
0.149000		0.680000		-0.178987
0.150000		0.680000		-0.179117
0.151000		0.680000		-0.179261
0.152000		0.680000		-0.179418
0.153000		0.680000		-0.179588
0.154000		0.680000		-0.179770
0.155000		0.680000		-0.179965
0.156000		0.680000		-0.180171
0.157000		0.680000		-0.180389
0.158000		0.680000		-0.180618
0.159000		0.680000		-0.180857
0.160000		0.680000		-0.181107
0.161000		0.680000		-0.181366
0.162000		0.680000		-0.181635
0.163000		0.680000		-0.181913
0.164000		0.680000		-0.182199
0.165000		0.680000		-0.182494
0.166000		0.680000		-0.182797
0.167000		0.680000		-0.183107
0.168000		0.680000		-0.183425
0.169000		0.680000		-0.183749
0.170000		0.680000		-0.184080
0.171000		0.680000		-0.184418
0.172000		0.680000		-0.184761
0.173000		0.680000		-0.185110
0.174000		0.680000		-0.185464
0.175000		0.680000		-0.185824
0.176000		0.680000		-0.186188
0.177000		0.680000		-0.186556
0.178000		0.680000		-0.186929
0.179000		0.680000		-0.187306
0.180000		0.680000		-0.187686
0.181000		0.680000		-0.188070
0.182000		0.680000		-0.188456
0.183000		0.680000		-0.188846
0.184000		0.680000		-0.189238
0.185000		0.680000		-0.189633
0.186000		0.680000		-0.190030
0.187000		0.680000		-0.190429
0.188000		0.680000		-0.190829
0.189000		0.680000		-0.191231
0.190000		0.680000		-0.191634
0.191000		0.680000		-0.192038
0.192000		0.680000		-0.192444
0.193000		0.680000		-0.192850
0.194000		0.680000		-0.193256
0.195000		0.680000		-0.193663
0.196000		0.680000		-0.194070
0.197000		0.680000		-0.194477
0.198000		0.680000		-0.194883
0.199000		0.680000		-0.195290
0.200000		0.680000		-0.195695
0.100000		0.690000		-0.197254
0.101000		0.690000		-0.196253
0.102000		0.690000		-0.195281
0.103000		0.690000		-0.194337
0.104000		0.690000		-0.193421
0.105000		0.690000		-0.192533
0.106000		0.690000		-0.191674
0.107000		0.690000		-0.190844
0.108000		0.690000		-0.190042
0.109000		0.690000		-0.189268
0.110000		0.690000		-0.188524
0.111000		0.690000		-0.187807
0.112000		0.690000		-0.187119
0.113000		0.690000		-0.186459
0.114000		0.690000		-0.185827
0.115000		0.690000		-0.185223
0.116000		0.690000		-0.184647
0.117000		0.690000		-0.184098
0.118000		0.690000		-0.183576
0.119000		0.690000		-0.183081
0.120000		0.690000		-0.182613
0.121000		0.690000		-0.182171
0.122000		0.690000		-0.181755
0.123000		0.690000		-0.181365
0.124000		0.690000		-0.181001
0.125000		0.690000		-0.180661
0.126000		0.690000		-0.180346
0.127000		0.690000		-0.180055
0.128000		0.690000		-0.179788
0.129000		0.690000		-0.179545
0.130000		0.690000		-0.179324
0.131000		0.690000		-0.179127
0.132000		0.690000		-0.178951
0.133000		0.690000		-0.178798
0.134000		0.690000		-0.178665
0.135000		0.690000		-0.178554
0.136000		0.690000		-0.178463
0.137000		0.690000		-0.178392
0.138000		0.690000		-0.178341
0.139000		0.690000		-0.178309
0.140000		0.690000		-0.178296
0.141000		0.690000		-0.178301
0.142000		0.690000		-0.178323
0.143000		0.690000		-0.178363
0.144000		0.690000		-0.178420
