101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.185000		0.020000		137.373905
0.186000		0.020000		140.052014
0.187000		0.020000		142.776207
0.188000		0.020000		145.546884
0.189000		0.020000		148.364436
0.190000		0.020000		151.229251
0.191000		0.020000		154.141710
0.192000		0.020000		157.102188
0.193000		0.020000		160.111055
0.194000		0.020000		163.168673
0.195000		0.020000		166.275400
0.196000		0.020000		169.431587
0.197000		0.020000		172.637578
0.198000		0.020000		175.893710
0.199000		0.020000		179.200316
0.200000		0.020000		182.557719
0.100000		0.030000		29.349812
0.101000		0.030000		29.795289
0.102000		0.030000		30.249095
0.103000		0.030000		30.711565
0.104000		0.030000		31.183039
0.105000		0.030000		31.663861
0.106000		0.030000		32.154376
0.107000		0.030000		32.654938
0.108000		0.030000		33.165901
0.109000		0.030000		33.687624
0.110000		0.030000		34.220472
0.111000		0.030000		34.764812
0.112000		0.030000		35.321017
0.113000		0.030000		35.889463
0.114000		0.030000		36.470531
0.115000		0.030000		37.064607
0.116000		0.030000		37.672079
0.117000		0.030000		38.293342
0.118000		0.030000		38.928795
0.119000		0.030000		39.578839
0.120000		0.030000		40.243882
0.121000		0.030000		40.924335
0.122000		0.030000		41.620615
0.123000		0.030000		42.333140
0.124000		0.030000		43.062335
0.125000		0.030000		43.808628
0.126000		0.030000		44.572452
0.127000		0.030000		45.354242
0.128000		0.030000		46.154439
0.129000		0.030000		46.973487
0.130000		0.030000		47.811833
0.131000		0.030000		48.669930
0.132000		0.030000		49.548232
0.133000		0.030000		50.447198
0.134000		0.030000		51.367289
0.135000		0.030000		52.308970
0.136000		0.030000		53.272711
0.137000		0.030000		54.258981
0.138000		0.030000		55.268255
0.139000		0.030000		56.301009
0.140000		0.030000		57.357723
0.141000		0.030000		58.438878
0.142000		0.030000		59.544957
0.143000		0.030000		60.676447
0.144000		0.030000		61.833835
0.145000		0.030000		63.017612
0.146000		0.030000		64.228267
0.147000		0.030000		65.466294
0.148000		0.030000		66.732186
0.149000		0.030000		68.026438
0.150000		0.030000		69.349546
0.151000		0.030000		70.702006
0.152000		0.030000		72.084316
0.153000		0.030000		73.496972
0.154000		0.030000		74.940471
0.155000		0.030000		76.415312
0.156000		0.030000		77.921992
0.157000		0.030000		79.461007
0.158000		0.030000		81.032854
0.159000		0.030000		82.638027
0.160000		0.030000		84.277022
0.161000		0.030000		85.950332
0.162000		0.030000		87.658449
0.163000		0.030000		89.401862
0.164000		0.030000		91.181062
0.165000		0.030000		92.996535
0.166000		0.030000		94.848765
0.167000		0.030000		96.738236
0.168000		0.030000		98.665427
0.169000		0.030000		100.630816
0.170000		0.030000		102.634878
0.171000		0.030000		104.678084
0.172000		0.030000		106.760904
0.173000		0.030000		108.883801
0.174000		0.030000		111.047239
0.175000		0.030000		113.251676
0.176000		0.030000		115.497565
0.177000		0.030000		117.785359
0.178000		0.030000		120.115502
0.179000		0.030000		122.488437
0.180000		0.030000		124.904603
0.181000		0.030000		127.364431
0.182000		0.030000		129.868352
0.183000		0.030000		132.416788
0.184000		0.030000		135.010158
0.185000		0.030000		137.648876
0.186000		0.030000		140.333350
0.187000		0.030000		143.063984
0.188000		0.030000		145.841175
0.189000		0.030000		148.665315
0.190000		0.030000		151.536790
0.191000		0.030000		154.455982
0.192000		0.030000		157.423264
0.193000		0.030000		160.439005
0.194000		0.030000		163.503568
0.195000		0.030000		166.617309
0.196000		0.030000		169.780578
0.197000		0.030000		172.993718
0.198000		0.030000		176.257067
0.199000		0.030000		179.570956
0.200000		0.030000		182.935708
0.100000		0.040000		29.361255
0.101000		0.040000		29.807605
0.102000		0.040000		30.262332
0.103000		0.040000		30.725773
0.104000		0.040000		31.198270
0.105000		0.040000		31.680166
0.106000		0.040000		32.171811
0.107000		0.040000		32.673558
0.108000		0.040000		33.185764
0.109000		0.040000		33.708790
0.110000		0.040000		34.243001
0.111000		0.040000		34.788766
0.112000		0.040000		35.346460
0.113000		0.040000		35.916461
0.114000		0.040000		36.499151
0.115000		0.040000		37.094916
0.116000		0.040000		37.704148
0.117000		0.040000		38.327243
0.118000		0.040000		38.964600
0.119000		0.040000		39.616623
0.120000		0.040000		40.283721
0.121000		0.040000		40.966307
0.122000		0.040000		41.664798
0.123000		0.040000		42.379615
0.124000		0.040000		43.111183
0.125000		0.040000		43.859933
0.126000		0.040000		44.626298
0.127000		0.040000		45.410715
0.128000		0.040000		46.213627
0.129000		0.040000		47.035477
0.130000		0.040000		47.876717
0.131000		0.040000		48.737797
0.132000		0.040000		49.619175
0.133000		0.040000		50.521311
0.134000		0.040000		51.444666
0.135000		0.040000		52.389708
0.136000		0.040000		53.356906
0.137000		0.040000		54.346732
0.138000		0.040000		55.359660
0.139000		0.040000		56.396169
0.140000		0.040000		57.456739
0.141000		0.040000		58.541852
0.142000		0.040000		59.651993
0.143000		0.040000		60.787648
0.144000		0.040000		61.949306
0.145000		0.040000		63.137458
0.146000		0.040000		64.352596
0.147000		0.040000		65.595212
0.148000		0.040000		66.865801
0.149000		0.040000		68.164859
0.150000		0.040000		69.492883
0.151000		0.040000		70.850368
0.152000		0.040000		72.237812
0.153000		0.040000		73.655714
0.154000		0.040000		75.104571
0.155000		0.040000		76.584882
0.156000		0.040000		78.097143
0.157000		0.040000		79.641852
0.158000		0.040000		81.219505
0.159000		0.040000		82.830598
0.160000		0.040000		84.475626
0.161000		0.040000		86.155083
0.162000		0.040000		87.869460
0.163000		0.040000		89.619247
0.164000		0.040000		91.404935
0.165000		0.040000		93.227009
0.166000		0.040000		95.085955
0.167000		0.040000		96.982255
0.168000		0.040000		98.916389
0.169000		0.040000		100.888834
0.170000		0.040000		102.900066
0.171000		0.040000		104.950554
0.172000		0.040000		107.040769
0.173000		0.040000		109.171175
0.174000		0.040000		111.342233
0.175000		0.040000		113.554401
0.176000		0.040000		115.808134
0.177000		0.040000		118.103881
0.178000		0.040000		120.442089
0.179000		0.040000		122.823199
0.180000		0.040000		125.247648
0.181000		0.040000		127.715869
0.182000		0.040000		130.228289
0.183000		0.040000		132.785333
0.184000		0.040000		135.387418
0.185000		0.040000		138.034956
0.186000		0.040000		140.728356
0.187000		0.040000		143.468020
0.188000		0.040000		146.254344
0.189000		0.040000		149.087720
0.190000		0.040000		151.968533
0.191000		0.040000		154.897163
0.192000		0.040000		157.873984
0.193000		0.040000		160.899363
0.194000		0.040000		163.973661
0.195000		0.040000		167.097234
0.196000		0.040000		170.270431
0.197000		0.040000		173.493594
0.198000		0.040000		176.767060
0.199000		0.040000		180.091157
0.200000		0.040000		183.466209
0.100000		0.050000		29.376163
0.101000		0.050000		29.823646
0.102000		0.050000		30.279569
0.103000		0.050000		30.744269
0.104000		0.050000		31.218092
0.105000		0.050000		31.701382
0.106000		0.050000		32.194492
0.107000		0.050000		32.697776
0.108000		0.050000		33.211594
0.109000		0.050000		33.736307
0.110000		0.050000		34.272284
0.111000		0.050000		34.819897
0.112000		0.050000		35.379520
0.113000		0.050000		35.951534
0.114000		0.050000		36.536323
0.115000		0.050000		37.134276
0.116000		0.050000		37.745787
0.117000		0.050000		38.371252
0.118000		0.050000		39.011074
0.119000		0.050000		39.665658
0.120000		0.050000		40.335415
0.121000		0.050000		41.020760
0.122000		0.050000		41.722112
0.123000		0.050000		42.439893
0.124000		0.050000		43.174531
0.125000		0.050000		43.926458
0.126000		0.050000		44.696108
0.127000		0.050000		45.483922
0.128000		0.050000		46.290342
0.129000		0.050000		47.115816
0.130000		0.050000		47.960794
0.131000		0.050000		48.825731
0.132000		0.050000		49.711084
0.133000		0.050000		50.617315
0.134000		0.050000		51.544888
0.135000		0.050000		52.494271
0.136000		0.050000		53.465935
0.137000		0.050000		54.460353
0.138000		0.050000		55.478002
0.139000		0.050000		56.519360
0.140000		0.050000		57.584909
0.141000		0.050000		58.675133
0.142000		0.050000		59.790517
0.143000		0.050000		60.931550
0.144000		0.050000		62.098721
0.145000		0.050000		63.292521
0.146000		0.050000		64.513444
0.147000		0.050000		65.761984
0.148000		0.050000		67.038635
0.149000		0.050000		68.343895
0.150000		0.050000		69.678261
0.151000		0.050000		71.042230
0.152000		0.050000		72.436300
0.153000		0.050000		73.860971
0.154000		0.050000		75.316740
0.155000		0.050000		76.804106
0.156000		0.050000		78.323567
0.157000		0.050000		79.875620
0.158000		0.050000		81.460763
0.159000		0.050000		83.079491
0.160000		0.050000		84.732300
0.161000		0.050000		86.419683
0.162000		0.050000		88.142133
0.163000		0.050000		89.900140
0.164000		0.050000		91.694194
0.165000		0.050000		93.524780
0.166000		0.050000		95.392384
0.167000		0.050000		97.297489
0.168000		0.050000		99.240573
0.169000		0.050000		101.222115
0.170000		0.050000		103.242588
0.171000		0.050000		105.302465
0.172000		0.050000		107.402212
0.173000		0.050000		109.542295
0.174000		0.050000		111.723174
0.175000		0.050000		113.945307
0.176000		0.050000		116.209148
0.177000		0.050000		118.515146
0.178000		0.050000		120.863747
0.179000		0.050000		123.255390
0.180000		0.050000		125.690513
0.181000		0.050000		128.169548
0.182000		0.050000		130.692922
0.183000		0.050000		133.261056
0.184000		0.050000		135.874369
0.185000		0.050000		138.533271
0.186000		0.050000		141.238170
0.187000		0.050000		143.989467
0.188000		0.050000		146.787557
0.189000		0.050000		149.632831
0.190000		0.050000		152.525673
0.191000		0.050000		155.466461
0.192000		0.050000		158.455568
0.193000		0.050000		161.493360
0.194000		0.050000		164.580198
0.195000		0.050000		167.716435
0.196000		0.050000		170.902418
0.197000		0.050000		174.138490
0.198000		0.050000		177.424984
0.199000		0.050000		180.762228
0.200000		0.050000		184.150544
0.100000		0.060000		29.394685
0.101000		0.060000		29.843570
0.102000		0.060000		30.300970
0.103000		0.060000		30.767228
0.104000		0.060000		31.242689
0.105000		0.060000		31.727703
0.106000		0.060000		32.222622
0.107000		0.060000		32.727804
0.108000		0.060000		33.243611
0.109000		0.060000		33.770408
0.110000		0.060000		34.308565
0.111000		0.060000		34.858456
0.112000		0.060000		35.420458
0.113000		0.060000		35.994956
0.114000		0.060000		36.582334
0.115000		0.060000		37.182986
0.116000		0.060000		37.797305
0.117000		0.060000		38.425692
0.118000		0.060000		39.068552
0.119000		0.060000		39.726291
0.120000		0.060000		40.399324
0.121000		0.060000		41.088067
0.122000		0.060000		41.792942
0.123000		0.060000		42.514373
0.124000		0.060000		43.252790
0.125000		0.060000		44.008628
0.126000		0.060000		44.782323
0.127000		0.060000		45.574316
0.128000		0.060000		46.385054
0.129000		0.060000		47.214986
0.130000		0.060000		48.064563
0.131000		0.060000		48.934243
0.132000		0.060000		49.824486
0.133000		0.060000		50.735753
0.134000		0.060000		51.668513
0.135000		0.060000		52.623233
0.136000		0.060000		53.600387
0.137000		0.060000		54.600451
0.138000		0.060000		55.623901
0.139000		0.060000		56.671218
0.140000		0.060000		57.742886
0.141000		0.060000		58.839390
0.142000		0.060000		59.961217
0.143000		0.060000		61.108856
0.144000		0.060000		62.282799
0.145000		0.060000		63.483537
0.146000		0.060000		64.711566
0.147000		0.060000		65.967380
0.148000		0.060000		67.251476
0.149000		0.060000		68.564352
0.150000		0.060000		69.906505
0.151000		0.060000		71.278434
0.152000		0.060000		72.680638
0.153000		0.060000		74.113617
0.154000		0.060000		75.577870
0.155000		0.060000		77.073895
0.156000		0.060000		78.602192
0.157000		0.060000		80.163259
0.158000		0.060000		81.757592
0.159000		0.060000		83.385689
0.160000		0.060000		85.048045
0.161000		0.060000		86.745153
0.162000		0.060000		88.477507
0.163000		0.060000		90.245597
0.164000		0.060000		92.049912
0.165000		0.060000		93.890939
0.166000		0.060000		95.769162
0.167000		0.060000		97.685065
0.168000		0.060000		99.639126
0.169000		0.060000		101.631823
0.170000		0.060000		103.663629
0.171000		0.060000		105.735016
0.172000		0.060000		107.846451
0.173000		0.060000		109.998399
0.174000		0.060000		112.191319
0.175000		0.060000		114.425668
0.176000		0.060000		116.701901
0.177000		0.060000		119.020464
0.178000		0.060000		121.381803
0.179000		0.060000		123.786357
0.180000		0.060000		126.234563
0.181000		0.060000		128.726851
0.182000		0.060000		131.263648
0.183000		0.060000		133.845373
0.184000		0.060000		136.472445
0.185000		0.060000		139.145272
0.186000		0.060000		141.864261
0.187000		0.060000		144.629811
0.188000		0.060000		147.442318
0.189000		0.060000		150.302169
0.190000		0.060000		153.209747
0.191000		0.060000		156.165430
0.192000		0.060000		159.169588
0.193000		0.060000		162.222587
0.194000		0.060000		165.324784
0.195000		0.060000		168.476533
0.196000		0.060000		171.678178
0.197000		0.060000		174.930060
0.198000		0.060000		178.232511
0.199000		0.060000		181.585857
0.200000		0.060000		184.990418
0.100000		0.070000		29.417006
0.101000		0.070000		29.867571
0.102000		0.070000		30.326743
0.103000		0.070000		30.794866
0.104000		0.070000		31.272289
0.105000		0.070000		31.759365
0.106000		0.070000		32.256450
0.107000		0.070000		32.763904
0.108000		0.070000		33.282090
0.109000		0.070000		33.811379
0.110000		0.070000		34.352142
0.111000		0.070000		34.904757
0.112000		0.070000		35.469603
0.113000		0.070000		36.047068
0.114000		0.070000		36.637539
0.115000		0.070000		37.241413
0.116000		0.070000		37.859086
0.117000		0.070000		38.490961
0.118000		0.070000		39.137445
0.119000		0.070000		39.798950
0.120000		0.070000		40.475891
0.121000		0.070000		41.168688
0.122000		0.070000		41.877764
0.123000		0.070000		42.603547
0.124000		0.070000		43.346470
0.125000		0.070000		44.106969
0.126000		0.070000		44.885484
0.127000		0.070000		45.682459
0.128000		0.070000		46.498341
0.129000		0.070000		47.333582
0.130000		0.070000		48.188638
0.131000		0.070000		49.063967
0.132000		0.070000		49.960031
0.133000		0.070000		50.877295
0.134000		0.070000		51.816228
0.135000		0.070000		52.777301
0.136000		0.070000		53.760989
0.137000		0.070000		54.767770
0.138000		0.070000		55.798123
0.139000		0.070000		56.852530
0.140000		0.070000		57.931477
0.141000		0.070000		59.035450
0.142000		0.070000		60.164938
0.143000		0.070000		61.320433
0.144000		0.070000		62.502427
0.145000		0.070000		63.711414
0.146000		0.070000		64.947890
0.147000		0.070000		66.212351
0.148000		0.070000		67.505295
0.149000		0.070000		68.827220
0.150000		0.070000		70.178627
0.151000		0.070000		71.560014
0.152000		0.070000		72.971883
0.153000		0.070000		74.414732
0.154000		0.070000		75.889062
0.155000		0.070000		77.395373
0.156000		0.070000		78.934164
0.157000		0.070000		80.505934
0.158000		0.070000		82.111181
0.159000		0.070000		83.750402
0.160000		0.070000		85.424092
0.161000		0.070000		87.132746
0.162000		0.070000		88.876857
0.163000		0.070000		90.656915
0.164000		0.070000		92.473410
0.165000		0.070000		94.326828
0.166000		0.070000		96.217654
0.167000		0.070000		98.146371
0.168000		0.070000		100.113457
0.169000		0.070000		102.119390
0.170000		0.070000		104.164642
0.171000		0.070000		106.249685
0.172000		0.070000		108.374986
0.173000		0.070000		110.541007
0.174000		0.070000		112.748210
0.175000		0.070000		114.997049
0.176000		0.070000		117.287978
0.177000		0.070000		119.621443
0.178000		0.070000		121.997888
0.179000		0.070000		124.417753
0.180000		0.070000		126.881472
0.181000		0.070000		129.389474
0.182000		0.070000		131.942186
0.183000		0.070000		134.540025
0.184000		0.070000		137.183407
0.185000		0.070000		139.872742
0.186000		0.070000		142.608433
0.187000		0.070000		145.390879
0.188000		0.070000		148.220473
0.189000		0.070000		151.097601
0.190000		0.070000		154.022645
0.191000		0.070000		156.995980
0.192000		0.070000		160.017975
0.193000		0.070000		163.088994
0.194000		0.070000		166.209392
0.195000		0.070000		169.379521
0.196000		0.070000		172.599723
0.197000		0.070000		175.870337
0.198000		0.070000		179.191693
0.199000		0.070000		182.564115
0.200000		0.070000		185.987921
0.100000		0.080000		29.443351
0.101000		0.080000		29.895885
0.102000		0.080000		30.357134
0.103000		0.080000		30.827443
0.104000		0.080000		31.307166
0.105000		0.080000		31.796658
0.106000		0.080000		32.296278
0.107000		0.080000		32.806390
0.108000		0.080000		33.327362
0.109000		0.080000		33.859566
0.110000		0.080000		34.403377
0.111000		0.080000		34.959175
0.112000		0.080000		35.527346
0.113000		0.080000		36.108278
0.114000		0.080000		36.702363
0.115000		0.080000		37.309999
0.116000		0.080000		37.931588
0.117000		0.080000		38.567535
0.118000		0.080000		39.218250
0.119000		0.080000		39.884149
0.120000		0.080000		40.565648
0.121000		0.080000		41.263172
0.122000		0.080000		41.977148
0.123000		0.080000		42.708005
0.124000		0.080000		43.456180
0.125000		0.080000		44.222111
0.126000		0.080000		45.006242
0.127000		0.080000		45.809019
0.128000		0.080000		46.630893
0.129000		0.080000		47.472318
0.130000		0.080000		48.333753
0.131000		0.080000		49.215657
0.132000		0.080000		50.118497
0.133000		0.080000		51.042739
0.134000		0.080000		51.988856
0.135000		0.080000		52.957320
0.136000		0.080000		53.948609
0.137000		0.080000		54.963202
0.138000		0.080000		56.001582
0.139000		0.080000		57.064233
0.140000		0.080000		58.151642
0.141000		0.080000		59.264297
0.142000		0.080000		60.402691
0.143000		0.080000		61.567315
0.144000		0.080000		62.758665
0.145000		0.080000		63.977235
0.146000		0.080000		65.223523
0.147000		0.080000		66.498028
0.148000		0.080000		67.801248
0.149000		0.080000		69.133684
0.150000		0.080000		70.495836
0.151000		0.080000		71.888205
0.152000		0.080000		73.311292
0.153000		0.080000		74.765599
0.154000		0.080000		76.251626
0.155000		0.080000		77.769874
0.156000		0.080000		79.320844
0.157000		0.080000		80.905034
0.158000		0.080000		82.522943
0.159000		0.080000		84.175070
0.160000		0.080000		85.861909
0.161000		0.080000		87.583955
0.162000		0.080000		89.341702
0.163000		0.080000		91.135640
0.164000		0.080000		92.966259
0.165000		0.080000		94.834046
0.166000		0.080000		96.739485
0.167000		0.080000		98.683058
0.168000		0.080000		100.665244
0.169000		0.080000		102.686519
0.170000		0.080000		104.747358
0.171000		0.080000		106.848228
0.172000		0.080000		108.989598
0.173000		0.080000		111.171930
0.174000		0.080000		113.395682
0.175000		0.080000		115.661311
0.176000		0.080000		117.969267
0.177000		0.080000		120.319997
0.178000		0.080000		122.713943
0.179000		0.080000		125.151543
0.180000		0.080000		127.633231
0.181000		0.080000		130.159435
0.182000		0.080000		132.730578
0.183000		0.080000		135.347079
0.184000		0.080000		138.009351
0.185000		0.080000		140.717801
0.186000		0.080000		143.472832
0.187000		0.080000		146.274840
0.188000		0.080000		149.124217
0.189000		0.080000		152.021348
0.190000		0.080000		154.966611
0.191000		0.080000		157.960380
0.192000		0.080000		161.003023
0.193000		0.080000		164.094899
0.194000		0.080000		167.236363
0.195000		0.080000		170.427764
0.196000		0.080000		173.669443
0.197000		0.080000		176.961735
0.198000		0.080000		180.304968
0.199000		0.080000		183.699464
0.200000		0.080000		187.145538
0.100000		0.090000		29.473981
0.101000		0.090000		29.928791
0.102000		0.090000		30.392436
0.103000		0.090000		30.865268
0.104000		0.090000		31.347643
0.105000		0.090000		31.839919
0.106000		0.090000		32.342461
0.107000		0.090000		32.855636
0.108000		0.090000		33.379815
0.109000		0.090000		33.915374
0.110000		0.090000		34.462692
0.111000		0.090000		35.022154
0.112000		0.090000		35.594148
0.113000		0.090000		36.179065
0.114000		0.090000		36.777303
