101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.135000		0.030000		0.409344
0.136000		0.030000		0.434672
0.137000		0.030000		0.461236
0.138000		0.030000		0.489078
0.139000		0.030000		0.518242
0.140000		0.030000		0.548772
0.141000		0.030000		0.580714
0.142000		0.030000		0.614114
0.143000		0.030000		0.649019
0.144000		0.030000		0.685476
0.145000		0.030000		0.723534
0.146000		0.030000		0.763242
0.147000		0.030000		0.804649
0.148000		0.030000		0.847807
0.149000		0.030000		0.892765
0.150000		0.030000		0.939577
0.151000		0.030000		0.988295
0.152000		0.030000		1.038972
0.153000		0.030000		1.091661
0.154000		0.030000		1.146418
0.155000		0.030000		1.203296
0.156000		0.030000		1.262353
0.157000		0.030000		1.323643
0.158000		0.030000		1.387224
0.159000		0.030000		1.453153
0.160000		0.030000		1.521488
0.161000		0.030000		1.592287
0.162000		0.030000		1.665609
0.163000		0.030000		1.741513
0.164000		0.030000		1.820059
0.165000		0.030000		1.901306
0.166000		0.030000		1.985316
0.167000		0.030000		2.072149
0.168000		0.030000		2.161867
0.169000		0.030000		2.254531
0.170000		0.030000		2.350203
0.171000		0.030000		2.448945
0.172000		0.030000		2.550820
0.173000		0.030000		2.655890
0.174000		0.030000		2.764219
0.175000		0.030000		2.875870
0.176000		0.030000		2.990906
0.177000		0.030000		3.109391
0.178000		0.030000		3.231389
0.179000		0.030000		3.356963
0.180000		0.030000		3.486178
0.181000		0.030000		3.619097
0.182000		0.030000		3.755785
0.183000		0.030000		3.896307
0.184000		0.030000		4.040726
0.185000		0.030000		4.189106
0.186000		0.030000		4.341513
0.187000		0.030000		4.498010
0.188000		0.030000		4.658662
0.189000		0.030000		4.823532
0.190000		0.030000		4.992685
0.191000		0.030000		5.166185
0.192000		0.030000		5.344095
0.193000		0.030000		5.526479
0.194000		0.030000		5.713401
0.195000		0.030000		5.904924
0.196000		0.030000		6.101112
0.197000		0.030000		6.302026
0.198000		0.030000		6.507731
0.199000		0.030000		6.718287
0.200000		0.030000		6.933758
0.100000		0.040000		0.028192
0.101000		0.040000		0.031106
0.102000		0.040000		0.034264
0.103000		0.040000		0.037681
0.104000		0.040000		0.041374
0.105000		0.040000		0.045361
0.106000		0.040000		0.049657
0.107000		0.040000		0.054282
0.108000		0.040000		0.059255
0.109000		0.040000		0.064596
0.110000		0.040000		0.070324
0.111000		0.040000		0.076461
0.112000		0.040000		0.083029
0.113000		0.040000		0.090050
0.114000		0.040000		0.097548
0.115000		0.040000		0.105548
0.116000		0.040000		0.114073
0.117000		0.040000		0.123151
0.118000		0.040000		0.132806
0.119000		0.040000		0.143068
0.120000		0.040000		0.153963
0.121000		0.040000		0.165521
0.122000		0.040000		0.177772
0.123000		0.040000		0.190745
0.124000		0.040000		0.204474
0.125000		0.040000		0.218989
0.126000		0.040000		0.234323
0.127000		0.040000		0.250512
0.128000		0.040000		0.267589
0.129000		0.040000		0.285589
0.130000		0.040000		0.304550
0.131000		0.040000		0.324508
0.132000		0.040000		0.345501
0.133000		0.040000		0.367568
0.134000		0.040000		0.390749
0.135000		0.040000		0.415083
0.136000		0.040000		0.440614
0.137000		0.040000		0.467381
0.138000		0.040000		0.495429
0.139000		0.040000		0.524800
0.140000		0.040000		0.555540
0.141000		0.040000		0.587692
0.142000		0.040000		0.621304
0.143000		0.040000		0.656422
0.144000		0.040000		0.693094
0.145000		0.040000		0.731366
0.146000		0.040000		0.771290
0.147000		0.040000		0.812913
0.148000		0.040000		0.856287
0.149000		0.040000		0.901462
0.150000		0.040000		0.948490
0.151000		0.040000		0.997424
0.152000		0.040000		1.048316
0.153000		0.040000		1.101221
0.154000		0.040000		1.156191
0.155000		0.040000		1.213283
0.156000		0.040000		1.272552
0.157000		0.040000		1.334053
0.158000		0.040000		1.397843
0.159000		0.040000		1.463980
0.160000		0.040000		1.532521
0.161000		0.040000		1.603524
0.162000		0.040000		1.677048
0.163000		0.040000		1.753151
0.164000		0.040000		1.831895
0.165000		0.040000		1.913337
0.166000		0.040000		1.997539
0.167000		0.040000		2.084562
0.168000		0.040000		2.174466
0.169000		0.040000		2.267313
0.170000		0.040000		2.363165
0.171000		0.040000		2.462084
0.172000		0.040000		2.564132
0.173000		0.040000		2.669373
0.174000		0.040000		2.777868
0.175000		0.040000		2.889681
0.176000		0.040000		3.004875
0.177000		0.040000		3.123515
0.178000		0.040000		3.245663
0.179000		0.040000		3.371383
0.180000		0.040000		3.500739
0.181000		0.040000		3.633796
0.182000		0.040000		3.770617
0.183000		0.040000		3.911266
0.184000		0.040000		4.055809
0.185000		0.040000		4.204308
0.186000		0.040000		4.356828
0.187000		0.040000		4.513434
0.188000		0.040000		4.674189
0.189000		0.040000		4.839158
0.190000		0.040000		5.008405
0.191000		0.040000		5.181993
0.192000		0.040000		5.359986
0.193000		0.040000		5.542448
0.194000		0.040000		5.729443
0.195000		0.040000		5.921033
0.196000		0.040000		6.117281
0.197000		0.040000		6.318252
0.198000		0.040000		6.524006
0.199000		0.040000		6.734608
0.200000		0.040000		6.950118
0.100000		0.050000		0.029348
0.101000		0.050000		0.032352
0.102000		0.050000		0.035605
0.103000		0.050000		0.039123
0.104000		0.050000		0.042922
0.105000		0.050000		0.047019
0.106000		0.050000		0.051432
0.107000		0.050000		0.056178
0.108000		0.050000		0.061278
0.109000		0.050000		0.066750
0.110000		0.050000		0.072616
0.111000		0.050000		0.078896
0.112000		0.050000		0.085612
0.113000		0.050000		0.092787
0.114000		0.050000		0.100445
0.115000		0.050000		0.108609
0.116000		0.050000		0.117305
0.117000		0.050000		0.126558
0.118000		0.050000		0.136395
0.119000		0.050000		0.146843
0.120000		0.050000		0.157930
0.121000		0.050000		0.169684
0.122000		0.050000		0.182137
0.123000		0.050000		0.195317
0.124000		0.050000		0.209257
0.125000		0.050000		0.223989
0.126000		0.050000		0.239544
0.127000		0.050000		0.255958
0.128000		0.050000		0.273265
0.129000		0.050000		0.291499
0.130000		0.050000		0.310698
0.131000		0.050000		0.330897
0.132000		0.050000		0.352136
0.133000		0.050000		0.374452
0.134000		0.050000		0.397885
0.135000		0.050000		0.422475
0.136000		0.050000		0.448264
0.137000		0.050000		0.475292
0.138000		0.050000		0.503603
0.139000		0.050000		0.533240
0.140000		0.050000		0.564247
0.141000		0.050000		0.596670
0.142000		0.050000		0.630553
0.143000		0.050000		0.665944
0.144000		0.050000		0.702889
0.145000		0.050000		0.741437
0.146000		0.050000		0.781636
0.147000		0.050000		0.823535
0.148000		0.050000		0.867185
0.149000		0.050000		0.912637
0.150000		0.050000		0.959942
0.151000		0.050000		1.009151
