80
180
L [fm^-1]		aL		c2_vah1 [...]
0.855063		0.260335		0.681554
0.863291		0.260335		0.622853
0.871519		0.260335		0.569609
0.879747		0.260335		0.521283
0.887975		0.260335		0.477392
0.896203		0.260335		0.437503
0.904430		0.260335		0.401228
0.912658		0.260335		0.368217
0.920886		0.260335		0.338157
0.929114		0.260335		0.310766
0.937342		0.260335		0.285792
0.945570		0.260335		0.263005
0.953797		0.260335		0.242201
0.962025		0.260335		0.223195
0.970253		0.260335		0.205819
0.978481		0.260335		0.189925
0.986709		0.260335		0.175376
0.994937		0.260335		0.162049
1.003165		0.260335		0.149834
1.011392		0.260335		0.138632
1.019620		0.260335		0.128350
1.027848		0.260335		0.118909
1.036076		0.260335		0.110233
1.044304		0.260335		0.102256
1.052532		0.260335		0.094916
1.060759		0.260335		0.088159
1.068987		0.260335		0.081934
1.077215		0.260335		0.076196
1.085443		0.260335		0.070903
1.093671		0.260335		0.066018
1.101899		0.260335		0.061507
1.110127		0.260335		0.057338
1.118354		0.260335		0.053484
1.126582		0.260335		0.049918
1.134810		0.260335		0.046616
1.143038		0.260335		0.043559
1.151266		0.260335		0.040725
1.159494		0.260335		0.038097
1.167722		0.260335		0.035658
1.175949		0.260335		0.033394
1.184177		0.260335		0.031291
1.192405		0.260335		0.029336
1.200633		0.260335		0.027518
1.208861		0.260335		0.025827
1.217089		0.260335		0.024252
1.225316		0.260335		0.022785
1.233544		0.260335		0.021418
1.241772		0.260335		0.020143
1.250000		0.260335		0.018953
0.600000		0.270391		15.279196
0.608228		0.270391		13.646258
0.616456		0.270391		12.198768
0.624684		0.270391		10.914296
0.632911		0.270391		9.773321
0.641139		0.270391		8.758828
0.649367		0.270391		7.855952
0.657595		0.270391		7.051695
0.665823		0.270391		6.334667
0.674051		0.270391		5.694874
0.682278		0.270391		5.123537
0.690506		0.270391		4.612932
0.698734		0.270391		4.156258
0.706962		0.270391		3.747514
0.715190		0.270391		3.381405
0.723418		0.270391		3.053250
0.731646		0.270391		2.758910
0.739873		0.270391		2.494717
0.748101		0.270391		2.257424
0.756329		0.270391		2.044147
0.764557		0.270391		1.852329
0.772785		0.270391		1.679696
0.781013		0.270391		1.524228
0.789241		0.270391		1.384126
0.797468		0.270391		1.257789
0.805696		0.270391		1.143790
0.813924		0.270391		1.040858
0.822152		0.270391		0.947859
0.830380		0.270391		0.863778
0.838608		0.270391		0.787712
0.846835		0.270391		0.718851
0.855063		0.270391		0.656474
0.863291		0.270391		0.599932
0.871519		0.270391		0.548646
0.879747		0.270391		0.502097
0.887975		0.270391		0.459821
0.896203		0.270391		0.421400
0.904430		0.270391		0.386459
0.912658		0.270391		0.354662
0.920886		0.270391		0.325709
0.929114		0.270391		0.299326
0.937342		0.270391		0.275270
0.945570		0.270391		0.253322
0.953797		0.270391		0.233284
0.962025		0.270391		0.214977
0.970253		0.270391		0.198241
0.978481		0.270391		0.182932
0.986709		0.270391		0.168918
0.994937		0.270391		0.156082
1.003165		0.270391		0.144317
1.011392		0.270391		0.133527
1.019620		0.270391		0.123624
1.027848		0.270391		0.114531
1.036076		0.270391		0.106174
1.044304		0.270391		0.098491
1.052532		0.270391		0.091421
1.060759		0.270391		0.084913
1.068987		0.270391		0.078917
1.077215		0.270391		0.073390
1.085443		0.270391		0.068292
1.093671		0.270391		0.063587
1.101899		0.270391		0.059242
1.110127		0.270391		0.055227
1.118354		0.270391		0.051514
1.126582		0.270391		0.048080
1.134810		0.270391		0.044900
1.143038		0.270391		0.041955
1.151266		0.270391		0.039225
1.159494		0.270391		0.036694
1.167722		0.270391		0.034345
1.175949		0.270391		0.032165
1.184177		0.270391		0.030139
1.192405		0.270391		0.028256
1.200633		0.270391		0.026505
1.208861		0.270391		0.024876
1.217089		0.270391		0.023359
1.225316		0.270391		0.021946
1.233544		0.270391		0.020629
1.241772		0.270391		0.019401
1.250000		0.270391		0.018256
0.600000		0.280447		14.739699
0.608228		0.280447		13.164335
0.616456		0.280447		11.767888
0.624684		0.280447		10.528717
0.632911		0.280447		9.427990
0.641139		0.280447		8.449288
0.649367		0.280447		7.578272
0.657595		0.280447		6.802400
0.665823		0.280447		6.110682
0.674051		0.280447		5.493478
0.682278		0.280447		4.942316
0.690506		0.280447		4.449746
0.698734		0.280447		4.009204
0.706962		0.280447		3.614902
0.715190		0.280447		3.261731
0.723418		0.280447		2.945175
0.731646		0.280447		2.661240
0.739873		0.280447		2.406389
0.748101		0.280447		2.177487
0.756329		0.280447		1.971754
0.764557		0.280447		1.786722
0.772785		0.280447		1.620197
0.781013		0.280447		1.470230
0.789241		0.280447		1.335086
0.797468		0.280447		1.213221
0.805696		0.280447		1.103258
0.813924		0.280447		1.003971
0.822152		0.280447		0.914264
0.830380		0.280447		0.833161
0.838608		0.280447		0.759789
0.846835		0.280447		0.693368
0.855063		0.280447		0.633200
0.863291		0.280447		0.578662
0.871519		0.280447		0.529193
0.879747		0.280447		0.484294
0.887975		0.280447		0.443516
0.896203		0.280447		0.406456
0.904430		0.280447		0.372754
0.912658		0.280447		0.342084
0.920886		0.280447		0.314157
0.929114		0.280447		0.288710
0.937342		0.280447		0.265507
0.945570		0.280447		0.244337
0.953797		0.280447		0.225009
0.962025		0.280447		0.207352
0.970253		0.280447		0.191210
0.978481		0.280447		0.176443
0.986709		0.280447		0.162926
0.994937		0.280447		0.150546
1.003165		0.280447		0.139198
1.011392		0.280447		0.128790
1.019620		0.280447		0.119239
1.027848		0.280447		0.110468
1.036076		0.280447		0.102408
1.044304		0.280447		0.094997
1.052532		0.280447		0.088178
1.060759		0.280447		0.081900
1.068987		0.280447		0.076117
1.077215		0.280447		0.070786
1.085443		0.280447		0.065869
1.093671		0.280447		0.061331
1.101899		0.280447		0.057140
1.110127		0.280447		0.053268
1.118354		0.280447		0.049687
1.126582		0.280447		0.046374
1.134810		0.280447		0.043307
1.143038		0.280447		0.040467
1.151266		0.280447		0.037834
1.159494		0.280447		0.035392
1.167722		0.280447		0.033127
1.175949		0.280447		0.031024
1.184177		0.280447		0.029070
1.192405		0.280447		0.027254
1.200633		0.280447		0.025565
1.208861		0.280447		0.023994
1.217089		0.280447		0.022531
1.225316		0.280447		0.021168
1.233544		0.280447		0.019898
1.241772		0.280447		0.018713
1.250000		0.280447		0.017608
0.600000		0.290503		14.237741
0.608228		0.290503		12.715944
0.616456		0.290503		11.366987
0.624684		0.290503		10.169965
0.632911		0.290503		9.106685
0.641139		0.290503		8.161285
0.649367		0.290503		7.319912
0.657595		0.290503		6.570449
0.665823		0.290503		5.902281
0.674051		0.290503		5.306094
0.682278		0.290503		4.773704
0.690506		0.290503		4.297914
0.698734		0.290503		3.872382
0.706962		0.290503		3.491517
0.715190		0.290503		3.150384
0.723418		0.290503		2.844620
0.731646		0.290503		2.570366
0.739873		0.290503		2.324206
0.748101		0.290503		2.103112
0.756329		0.290503		1.904398
0.764557		0.290503		1.725679
0.772785		0.290503		1.564837
0.781013		0.290503		1.419989
0.789241		0.290503		1.289458
0.797468		0.290503		1.171754
0.805696		0.290503		1.065546
0.813924		0.290503		0.969650
0.822152		0.290503		0.883007
0.830380		0.290503		0.804675
0.838608		0.290503		0.733809
0.846835		0.290503		0.669658
0.855063		0.290503		0.611546
0.863291		0.290503		0.558871
0.871519		0.290503		0.511093
0.879747		0.290503		0.467729
0.887975		0.290503		0.428345
0.896203		0.290503		0.392552
0.904430		0.290503		0.360002
0.912658		0.290503		0.330382
0.920886		0.290503		0.303409
0.929114		0.290503		0.278832
0.937342		0.290503		0.256423
0.945570		0.290503		0.235977
0.953797		0.290503		0.217311
0.962025		0.290503		0.200257
0.970253		0.290503		0.184667
0.978481		0.290503		0.170406
0.986709		0.290503		0.157351
0.994937		0.290503		0.145394
1.003165		0.290503		0.134435
1.011392		0.290503		0.124383
1.019620		0.290503		0.115159
1.027848		0.290503		0.106688
1.036076		0.290503		0.098903
1.044304		0.290503		0.091746
1.052532		0.290503		0.085161
1.060759		0.290503		0.079098
1.068987		0.290503		0.073513
1.077215		0.290503		0.068364
1.085443		0.290503		0.063615
1.093671		0.290503		0.059232
1.101899		0.290503		0.055185
1.110127		0.290503		0.051445
1.118354		0.290503		0.047987
1.126582		0.290503		0.044787
1.134810		0.290503		0.041825
1.143038		0.290503		0.039082
1.151266		0.290503		0.036539
1.159494		0.290503		0.034181
1.167722		0.290503		0.031993
