100
100
T [fm^-1]		muB [fm^-1]		c4_df14 [fm^5]
0.580000		0.137374		3.216974
0.582424		0.137374		3.093546
0.584848		0.137374		2.975104
0.587273		0.137374		2.861436
0.589697		0.137374		2.752340
0.592121		0.137374		2.647624
0.594545		0.137374		2.547104
0.596970		0.137374		2.450602
0.599394		0.137374		2.357952
0.601818		0.137374		2.268992
0.604242		0.137374		2.183568
0.606667		0.137374		2.101534
0.609091		0.137374		2.022747
0.611515		0.137374		1.947074
0.613939		0.137374		1.874386
0.616364		0.137374		1.804560
0.618788		0.137374		1.737477
0.621212		0.137374		1.673025
0.623636		0.137374		1.611096
0.626061		0.137374		1.551586
0.628485		0.137374		1.494397
0.630909		0.137374		1.439434
0.633333		0.137374		1.386606
0.635758		0.137374		1.335826
0.638182		0.137374		1.287011
0.640606		0.137374		1.240082
0.643030		0.137374		1.194963
0.645455		0.137374		1.151579
0.647879		0.137374		1.109862
0.650303		0.137374		1.069744
0.652727		0.137374		1.031161
0.655152		0.137374		0.994052
0.657576		0.137374		0.958357
0.660000		0.137374		0.924020
0.662424		0.137374		0.890987
0.664848		0.137374		0.859207
0.667273		0.137374		0.828628
0.669697		0.137374		0.799204
0.672121		0.137374		0.770889
0.674545		0.137374		0.743639
0.676970		0.137374		0.717412
0.679394		0.137374		0.692168
0.681818		0.137374		0.667867
0.684242		0.137374		0.644474
0.686667		0.137374		0.621952
0.689091		0.137374		0.600268
0.691515		0.137374		0.579388
0.693939		0.137374		0.559281
0.696364		0.137374		0.539918
0.698788		0.137374		0.521269
0.701212		0.137374		0.503306
0.703636		0.137374		0.486004
0.706061		0.137374		0.469335
0.708485		0.137374		0.453277
0.710909		0.137374		0.437806
0.713333		0.137374		0.422898
0.715758		0.137374		0.408533
0.718182		0.137374		0.394689
0.720606		0.137374		0.381346
0.723030		0.137374		0.368486
0.725455		0.137374		0.356090
0.727879		0.137374		0.344141
0.730303		0.137374		0.332620
0.732727		0.137374		0.321513
0.735152		0.137374		0.310804
0.737576		0.137374		0.300476
0.740000		0.137374		0.290517
0.742424		0.137374		0.280912
0.744848		0.137374		0.271647
0.747273		0.137374		0.262711
0.749697		0.137374		0.254091
0.752121		0.137374		0.245774
0.754545		0.137374		0.237750
0.756970		0.137374		0.230008
0.759394		0.137374		0.222537
0.761818		0.137374		0.215327
0.764242		0.137374		0.208368
0.766667		0.137374		0.201652
0.769091		0.137374		0.195169
0.771515		0.137374		0.188910
0.773939		0.137374		0.182868
0.776364		0.137374		0.177035
0.778788		0.137374		0.171402
0.781212		0.137374		0.165963
0.783636		0.137374		0.160710
0.786061		0.137374		0.155637
0.788485		0.137374		0.150736
0.790909		0.137374		0.146003
0.793333		0.137374		0.141430
0.795758		0.137374		0.137012
0.798182		0.137374		0.132744
0.800606		0.137374		0.128620
0.803030		0.137374		0.124634
0.805455		0.137374		0.120782
0.807879		0.137374		0.117059
0.810303		0.137374		0.113461
0.812727		0.137374		0.109982
0.815152		0.137374		0.106620
0.817576		0.137374		0.103369
0.820000		0.137374		0.100225
0.580000		0.164848		3.834119
0.582424		0.164848		3.687300
0.584848		0.164848		3.546398
0.587273		0.164848		3.411162
0.589697		0.164848		3.281354
0.592121		0.164848		3.156746
0.594545		0.164848		3.037119
0.596970		0.164848		2.922266
0.599394		0.164848		2.811986
0.601818		0.164848		2.706088
0.604242		0.164848		2.604392
0.606667		0.164848		2.506721
0.609091		0.164848		2.412910
0.611515		0.164848		2.322799
0.613939		0.164848		2.236234
0.616364		0.164848		2.153071
0.618788		0.164848		2.073169
0.621212		0.164848		1.996394
0.623636		0.164848		1.922618
0.626061		0.164848		1.851719
0.628485		0.164848		1.783579
0.630909		0.164848		1.718086
0.633333		0.164848		1.655133
0.635758		0.164848		1.594615
0.638182		0.164848		1.536436
0.640606		0.164848		1.480499
0.643030		0.164848		1.426715
0.645455		0.164848		1.374997
0.647879		0.164848		1.325262
0.650303		0.164848		1.277430
0.652727		0.164848		1.231425
0.655152		0.164848		1.187174
0.657576		0.164848		1.144607
0.660000		0.164848		1.103656
0.662424		0.164848		1.064258
0.664848		0.164848		1.026351
0.667273		0.164848		0.989875
0.669697		0.164848		0.954774
0.672121		0.164848		0.920994
0.674545		0.164848		0.888483
0.676970		0.164848		0.857189
0.679394		0.164848		0.827067
0.681818		0.164848		0.798069
0.684242		0.164848		0.770152
0.686667		0.164848		0.743273
0.689091		0.164848		0.717392
0.691515		0.164848		0.692470
0.693939		0.164848		0.668469
0.696364		0.164848		0.645354
0.698788		0.164848		0.623091
0.701212		0.164848		0.601646
0.703636		0.164848		0.580988
0.706061		0.164848		0.561086
0.708485		0.164848		0.541911
0.710909		0.164848		0.523436
0.713333		0.164848		0.505633
0.715758		0.164848		0.488477
0.718182		0.164848		0.471943
0.720606		0.164848		0.456007
0.723030		0.164848		0.440647
0.725455		0.164848		0.425840
0.727879		0.164848		0.411565
0.730303		0.164848		0.397803
0.732727		0.164848		0.384533
0.735152		0.164848		0.371738
0.737576		0.164848		0.359399
0.740000		0.164848		0.347499
0.742424		0.164848		0.336022
0.744848		0.164848		0.324951
0.747273		0.164848		0.314272
0.749697		0.164848		0.303970
0.752121		0.164848		0.294031
0.754545		0.164848		0.284441
0.756970		0.164848		0.275187
0.759394		0.164848		0.266257
0.761818		0.164848		0.257639
0.764242		0.164848		0.249321
0.766667		0.164848		0.241292
0.769091		0.164848		0.233542
0.771515		0.164848		0.226060
0.773939		0.164848		0.218836
0.776364		0.164848		0.211862
0.778788		0.164848		0.205127
0.781212		0.164848		0.198623
0.783636		0.164848		0.192342
0.786061		0.164848		0.186275
0.788485		0.164848		0.180415
0.790909		0.164848		0.174755
0.793333		0.164848		0.169286
0.795758		0.164848		0.164003
0.798182		0.164848		0.158898
0.800606		0.164848		0.153965
0.803030		0.164848		0.149197
0.805455		0.164848		0.144590
0.807879		0.164848		0.140137
0.810303		0.164848		0.135833
0.812727		0.164848		0.131672
0.815152		0.164848		0.127649
0.817576		0.164848		0.123759
0.820000		0.164848		0.119999
0.580000		0.192323		4.437591
0.582424		0.192323		4.268048
0.584848		0.192323		4.105319
0.587273		0.192323		3.949118
0.589697		0.192323		3.799170
0.592121		0.192323		3.655213
0.594545		0.192323		3.516997
0.596970		0.192323		3.384281
0.599394		0.192323		3.256837
0.601818		0.192323		3.134445
0.604242		0.192323		3.016897
0.606667		0.192323		2.903990
0.609091		0.192323		2.795535
0.611515		0.192323		2.691346
0.613939		0.192323		2.591249
0.616364		0.192323		2.495075
0.618788		0.192323		2.402664
0.621212		0.192323		2.313861
0.623636		0.192323		2.228519
0.626061		0.192323		2.146498
0.628485		0.192323		2.067661
0.630909		0.192323		1.991880
0.633333		0.192323		1.919031
0.635758		0.192323		1.848995
0.638182		0.192323		1.781658
0.640606		0.192323		1.716912
0.643030		0.192323		1.654652
0.645455		0.192323		1.594778
0.647879		0.192323		1.537195
0.650303		0.192323		1.481811
0.652727		0.192323		1.428538
0.655152		0.192323		1.377292
0.657576		0.192323		1.327992
0.660000		0.192323		1.280561
0.662424		0.192323		1.234924
0.664848		0.192323		1.191011
0.667273		0.192323		1.148752
0.669697		0.192323		1.108084
0.672121		0.192323		1.068943
0.674545		0.192323		1.031268
0.676970		0.192323		0.995003
0.679394		0.192323		0.960093
0.681818		0.192323		0.926483
0.684242		0.192323		0.894123
