101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.173000		0.020000		2.657283
0.174000		0.020000		2.767069
0.175000		0.020000		2.880313
0.176000		0.020000		2.997086
0.177000		0.020000		3.117460
0.178000		0.020000		3.241507
0.179000		0.020000		3.369298
0.180000		0.020000		3.500907
0.181000		0.020000		3.636407
0.182000		0.020000		3.775870
0.183000		0.020000		3.919369
0.184000		0.020000		4.066980
0.185000		0.020000		4.218776
0.186000		0.020000		4.374831
0.187000		0.020000		4.535221
0.188000		0.020000		4.700018
0.189000		0.020000		4.869300
0.190000		0.020000		5.043140
0.191000		0.020000		5.221613
0.192000		0.020000		5.404797
0.193000		0.020000		5.592764
0.194000		0.020000		5.785592
0.195000		0.020000		5.983356
0.196000		0.020000		6.186131
0.197000		0.020000		6.393993
0.198000		0.020000		6.607018
0.199000		0.020000		6.825281
0.200000		0.020000		7.048858
0.100000		0.030000		0.027412
0.101000		0.030000		0.030258
0.102000		0.030000		0.033343
0.103000		0.030000		0.036684
0.104000		0.030000		0.040296
0.105000		0.030000		0.044195
0.106000		0.030000		0.048399
0.107000		0.030000		0.052927
0.108000		0.030000		0.057796
0.109000		0.030000		0.063027
0.110000		0.030000		0.068639
0.111000		0.030000		0.074654
0.112000		0.030000		0.081093
0.113000		0.030000		0.087978
0.114000		0.030000		0.095334
0.115000		0.030000		0.103184
0.116000		0.030000		0.111552
0.117000		0.030000		0.120466
0.118000		0.030000		0.129949
0.119000		0.030000		0.140032
0.120000		0.030000		0.150740
0.121000		0.030000		0.162104
0.122000		0.030000		0.174152
0.123000		0.030000		0.186916
0.124000		0.030000		0.200427
0.125000		0.030000		0.214717
0.126000		0.030000		0.229820
0.127000		0.030000		0.245769
0.128000		0.030000		0.262599
0.129000		0.030000		0.280347
0.130000		0.030000		0.299048
0.131000		0.030000		0.318741
0.132000		0.030000		0.339464
0.133000		0.030000		0.361255
0.134000		0.030000		0.384156
0.135000		0.030000		0.408208
0.136000		0.030000		0.433452
0.137000		0.030000		0.459931
0.138000		0.030000		0.487690
0.139000		0.030000		0.516772
0.140000		0.030000		0.547223
0.141000		0.030000		0.579090
0.142000		0.030000		0.612419
0.143000		0.030000		0.647260
0.144000		0.030000		0.683660
0.145000		0.030000		0.721671
0.146000		0.030000		0.761342
0.147000		0.030000		0.802725
0.148000		0.030000		0.845873
0.149000		0.030000		0.890838
0.150000		0.030000		0.937675
0.151000		0.030000		0.986439
0.152000		0.030000		1.037185
0.153000		0.030000		1.089970
0.154000		0.030000		1.144851
0.155000		0.030000		1.201886
0.156000		0.030000		1.261134
0.157000		0.030000		1.322654
0.158000		0.030000		1.386507
0.159000		0.030000		1.452754
0.160000		0.030000		1.521456
0.161000		0.030000		1.592676
0.162000		0.030000		1.666477
0.163000		0.030000		1.742923
0.164000		0.030000		1.822077
0.165000		0.030000		1.904006
0.166000		0.030000		1.988774
0.167000		0.030000		2.076449
0.168000		0.030000		2.167096
0.169000		0.030000		2.260784
0.170000		0.030000		2.357580
0.171000		0.030000		2.457552
0.172000		0.030000		2.560771
0.173000		0.030000		2.667305
0.174000		0.030000		2.777225
0.175000		0.030000		2.890600
0.176000		0.030000		3.007502
0.177000		0.030000		3.128002
0.178000		0.030000		3.252172
0.179000		0.030000		3.380084
0.180000		0.030000		3.511811
0.181000		0.030000		3.647425
0.182000		0.030000		3.786999
0.183000		0.030000		3.930608
0.184000		0.030000		4.078323
0.185000		0.030000		4.230221
0.186000		0.030000		4.386375
0.187000		0.030000		4.546859
0.188000		0.030000		4.711748
0.189000		0.030000		4.881117
0.190000		0.030000		5.055042
0.191000		0.030000		5.233596
0.192000		0.030000		5.416856
0.193000		0.030000		5.604896
0.194000		0.030000		5.797794
0.195000		0.030000		5.995622
0.196000		0.030000		6.198459
0.197000		0.030000		6.406378
0.198000		0.030000		6.619456
0.199000		0.030000		6.837768
0.200000		0.030000		7.061390
0.100000		0.040000		0.028305
0.101000		0.040000		0.031221
0.102000		0.040000		0.034381
0.103000		0.040000		0.037799
0.104000		0.040000		0.041493
0.105000		0.040000		0.045478
0.106000		0.040000		0.049773
0.107000		0.040000		0.054394
0.108000		0.040000		0.059362
0.109000		0.040000		0.064695
0.110000		0.040000		0.070414
0.111000		0.040000		0.076540
0.112000		0.040000		0.083095
0.113000		0.040000		0.090101
0.114000		0.040000		0.097581
0.115000		0.040000		0.105559
0.116000		0.040000		0.114061
0.117000		0.040000		0.123111
0.118000		0.040000		0.132737
0.119000		0.040000		0.142965
0.120000		0.040000		0.153823
0.121000		0.040000		0.165341
0.122000		0.040000		0.177548
0.123000		0.040000		0.190475
0.124000		0.040000		0.204152
0.125000		0.040000		0.218613
0.126000		0.040000		0.233889
0.127000		0.040000		0.250016
0.128000		0.040000		0.267028
0.129000		0.040000		0.284961
0.130000		0.040000		0.303851
0.131000		0.040000		0.323736
0.132000		0.040000		0.344653
0.133000		0.040000		0.366643
0.134000		0.040000		0.389745
0.135000		0.040000		0.414000
0.136000		0.040000		0.439451
0.137000		0.040000		0.466139
0.138000		0.040000		0.494108
0.139000		0.040000		0.523404
0.140000		0.040000		0.554070
0.141000		0.040000		0.586154
0.142000		0.040000		0.619703
0.143000		0.040000		0.654764
0.144000		0.040000		0.691386
0.145000		0.040000		0.729620
0.146000		0.040000		0.769515
0.147000		0.040000		0.811123
0.148000		0.040000		0.854496
0.149000		0.040000		0.899688
0.150000		0.040000		0.946751
0.151000		0.040000		0.995742
0.152000		0.040000		1.046715
0.153000		0.040000		1.099726
0.154000		0.040000		1.154834
0.155000		0.040000		1.212095
0.156000		0.040000		1.271568
0.157000		0.040000		1.333313
0.158000		0.040000		1.397389
0.159000		0.040000		1.463858
0.160000		0.040000		1.532781
0.161000		0.040000		1.604220
0.162000		0.040000		1.678239
0.163000		0.040000		1.754901
0.164000		0.040000		1.834269
0.165000		0.040000		1.916410
0.166000		0.040000		2.001388
0.167000		0.040000		2.089270
0.168000		0.040000		2.180122
0.169000		0.040000		2.274012
0.170000		0.040000		2.371008
0.171000		0.040000		2.471177
0.172000		0.040000		2.574589
0.173000		0.040000		2.681313
0.174000		0.040000		2.791419
0.175000		0.040000		2.904978
0.176000		0.040000		3.022060
0.177000		0.040000		3.142736
0.178000		0.040000		3.267078
0.179000		0.040000		3.395158
0.180000		0.040000		3.527049
0.181000		0.040000		3.662823
0.182000		0.040000		3.802553
0.183000		0.040000		3.946312
0.184000		0.040000		4.094175
0.185000		0.040000		4.246215
0.186000		0.040000		4.402506
0.187000		0.040000		4.563122
0.188000		0.040000		4.728139
0.189000		0.040000		4.897631
0.190000		0.040000		5.071673
0.191000		0.040000		5.250340
0.192000		0.040000		5.433708
0.193000		0.040000		5.621850
0.194000		0.040000		5.814844
0.195000		0.040000		6.012764
0.196000		0.040000		6.215687
0.197000		0.040000		6.423686
0.198000		0.040000		6.636839
0.199000		0.040000		6.855220
0.200000		0.040000		7.078905
0.100000		0.050000		0.029466
0.101000		0.050000		0.032473
0.102000		0.050000		0.035729
0.103000		0.050000		0.039248
0.104000		0.050000		0.043048
0.105000		0.050000		0.047144
0.106000		0.050000		0.051555
0.107000		0.050000		0.056298
0.108000		0.050000		0.061392
0.109000		0.050000		0.066858
0.110000		0.050000		0.072715
0.111000		0.050000		0.078985
0.112000		0.050000		0.085688
0.113000		0.050000		0.092849
0.114000		0.050000		0.100489
0.115000		0.050000		0.108633
0.116000		0.050000		0.117306
0.117000		0.050000		0.126533
0.118000		0.050000		0.136341
0.119000		0.050000		0.146757
0.120000		0.050000		0.157808
0.121000		0.050000		0.169525
0.122000		0.050000		0.181935
0.123000		0.050000		0.195070
0.124000		0.050000		0.208962
0.125000		0.050000		0.223641
0.126000		0.050000		0.239142
0.127000		0.050000		0.255497
0.128000		0.050000		0.272742
0.129000		0.050000		0.290912
0.130000		0.050000		0.310044
0.131000		0.050000		0.330175
0.132000		0.050000		0.351342
0.133000		0.050000		0.373586
0.134000		0.050000		0.396946
0.135000		0.050000		0.421462
0.136000		0.050000		0.447177
0.137000		0.050000		0.474132
0.138000		0.050000		0.502372
0.139000		0.050000		0.531941
0.140000		0.050000		0.562883
0.141000		0.050000		0.595245
0.142000		0.050000		0.629074
0.143000		0.050000		0.664417
0.144000		0.050000		0.701323
0.145000		0.050000		0.739842
0.146000		0.050000		0.780024
0.147000		0.050000		0.821920
0.148000		0.050000		0.865582
0.149000		0.050000		0.911063
0.150000		0.050000		0.958416
0.151000		0.050000		1.007697
0.152000		0.050000		1.058960
0.153000		0.050000		1.112261
0.154000		0.050000		1.167658
0.155000		0.050000		1.225208
0.156000		0.050000		1.284969
0.157000		0.050000		1.347000
0.158000		0.050000		1.411362
0.159000		0.050000		1.478116
0.160000		0.050000		1.547321
0.161000		0.050000		1.619041
0.162000		0.050000		1.693338
0.163000		0.050000		1.770276
0.164000		0.050000		1.849919
0.165000		0.050000		1.932330
0.166000		0.050000		2.017577
0.167000		0.050000		2.105724
0.168000		0.050000		2.196838
0.169000		0.050000		2.290987
0.170000		0.050000		2.388237
0.171000		0.050000		2.488657
0.172000		0.050000		2.592317
0.173000		0.050000		2.699284
0.174000		0.050000		2.809629
0.175000		0.050000		2.923422
0.176000		0.050000		3.040734
0.177000		0.050000		3.161635
0.178000		0.050000		3.286198
0.179000		0.050000		3.414493
0.180000		0.050000		3.546594
0.181000		0.050000		3.682573
0.182000		0.050000		3.822502
0.183000		0.050000		3.966455
0.184000		0.050000		4.114506
0.185000		0.050000		4.266728
0.186000		0.050000		4.423195
0.187000		0.050000		4.583982
0.188000		0.050000		4.749162
0.189000		0.050000		4.918812
0.190000		0.050000		5.093005
0.191000		0.050000		5.271816
0.192000		0.050000		5.455321
0.193000		0.050000		5.643595
0.194000		0.050000		5.836713
0.195000		0.050000		6.034751
0.196000		0.050000		6.237784
0.197000		0.050000		6.445886
0.198000		0.050000		6.659135
0.199000		0.050000		6.877605
0.200000		0.050000		7.101372
0.100000		0.060000		0.030905
0.101000		0.060000		0.034024
0.102000		0.060000		0.037398
0.103000		0.060000		0.041041
0.104000		0.060000		0.044971
0.105000		0.060000		0.049204
0.106000		0.060000		0.053758
0.107000		0.060000		0.058650
0.108000		0.060000		0.063901
0.109000		0.060000		0.069529
0.110000		0.060000		0.075556
0.111000		0.060000		0.082001
0.112000		0.060000		0.088888
0.113000		0.060000		0.096237
0.114000		0.060000		0.104074
0.115000		0.060000		0.112421
0.116000		0.060000		0.121303
0.117000		0.060000		0.130747
0.118000		0.060000		0.140777
0.119000		0.060000		0.151423
0.120000		0.060000		0.162710
0.121000		0.060000		0.174669
0.122000		0.060000		0.187328
0.123000		0.060000		0.200719
0.124000		0.060000		0.214871
0.125000		0.060000		0.229817
0.126000		0.060000		0.245591
0.127000		0.060000		0.262225
0.128000		0.060000		0.279754
0.129000		0.060000		0.298214
0.130000		0.060000		0.317640
0.131000		0.060000		0.338070
0.132000		0.060000		0.359542
0.133000		0.060000		0.382095
0.134000		0.060000		0.405768
0.135000		0.060000		0.430602
0.136000		0.060000		0.456639
0.137000		0.060000		0.483920
0.138000		0.060000		0.512489
0.139000		0.060000		0.542389
0.140000		0.060000		0.573667
0.141000		0.060000		0.606367
0.142000		0.060000		0.640537
0.143000		0.060000		0.676223
0.144000		0.060000		0.713474
0.145000		0.060000		0.752340
0.146000		0.060000		0.792870
0.147000		0.060000		0.835115
0.148000		0.060000		0.879128
0.149000		0.060000		0.924960
0.150000		0.060000		0.972666
0.151000		0.060000		1.022298
0.152000		0.060000		1.073913
0.153000		0.060000		1.127567
0.154000		0.060000		1.183315
0.155000		0.060000		1.241215
0.156000		0.060000		1.301326
0.157000		0.060000		1.363705
0.158000		0.060000		1.428414
0.159000		0.060000		1.495512
0.160000		0.060000		1.565061
0.161000		0.060000		1.637121
0.162000		0.060000		1.711757
0.163000		0.060000		1.789030
0.164000		0.060000		1.869004
0.165000		0.060000		1.951745
0.166000		0.060000		2.037318
0.167000		0.060000		2.125787
0.168000		0.060000		2.217219
0.169000		0.060000		2.311681
0.170000		0.060000		2.409241
0.171000		0.060000		2.509967
0.172000		0.060000		2.613927
0.173000		0.060000		2.721189
0.174000		0.060000		2.831825
0.175000		0.060000		2.945903
0.176000		0.060000		3.063494
0.177000		0.060000		3.184669
0.178000		0.060000		3.309499
0.179000		0.060000		3.438056
0.180000		0.060000		3.570412
0.181000		0.060000		3.706640
0.182000		0.060000		3.846811
0.183000		0.060000		3.991000
0.184000		0.060000		4.139279
0.185000		0.060000		4.291723
0.186000		0.060000		4.448404
0.187000		0.060000		4.609398
0.188000		0.060000		4.774778
0.189000		0.060000		4.944620
0.190000		0.060000		5.118997
0.191000		0.060000		5.297985
0.192000		0.060000		5.481658
0.193000		0.060000		5.670092
0.194000		0.060000		5.863362
0.195000		0.060000		6.061543
0.196000		0.060000		6.264710
0.197000		0.060000		6.472940
0.198000		0.060000		6.686306
0.199000		0.060000		6.904885
0.200000		0.060000		7.128751
0.100000		0.070000		0.032634
0.101000		0.070000		0.035887
0.102000		0.070000		0.039402
0.103000		0.070000		0.043193
0.104000		0.070000		0.047278
0.105000		0.070000		0.051673
0.106000		0.070000		0.056397
0.107000		0.070000		0.061468
0.108000		0.070000		0.066904
0.109000		0.070000		0.072725
0.110000		0.070000		0.078952
0.111000		0.070000		0.085607
0.112000		0.070000		0.092710
0.113000		0.070000		0.100284
0.114000		0.070000		0.108353
0.115000		0.070000		0.116940
0.116000		0.070000		0.126071
0.117000		0.070000		0.135770
0.118000		0.070000		0.146065
0.119000		0.070000		0.156981
0.120000		0.070000		0.168548
0.121000		0.070000		0.180793
0.122000		0.070000		0.193746
0.123000		0.070000		0.207437
0.124000		0.070000		0.221897
0.125000		0.070000		0.237159
0.126000		0.070000		0.253254
0.127000		0.070000		0.270216
0.128000		0.070000		0.288080
0.129000		0.070000		0.306881
0.130000		0.070000		0.326654
0.131000		0.070000		0.347437
0.132000		0.070000		0.369268
0.133000		0.070000		0.392184
0.134000		0.070000		0.416226
0.135000		0.070000		0.441434
0.136000		0.070000		0.467848
0.137000		0.070000		0.495512
0.138000		0.070000		0.524467
0.139000		0.070000		0.554758
0.140000		0.070000		0.586429
0.141000		0.070000		0.619527
0.142000		0.070000		0.654096
0.143000		0.070000		0.690185
0.144000		0.070000		0.727841
0.145000		0.070000		0.767113
0.146000		0.070000		0.808052
0.147000		0.070000		0.850708
0.148000		0.070000		0.895132
0.149000		0.070000		0.941376
0.150000		0.070000		0.989494
0.151000		0.070000		1.039540
0.152000		0.070000		1.091568
0.153000		0.070000		1.145633
0.154000		0.070000		1.201793
0.155000		0.070000		1.260105
0.156000		0.070000		1.320625
0.157000		0.070000		1.383413
0.158000		0.070000		1.448528
0.159000		0.070000		1.516030
0.160000		0.070000		1.585981
0.161000		0.070000		1.658440
0.162000		0.070000		1.733472
0.163000		0.070000		1.811138
0.164000		0.070000		1.891502
0.165000		0.070000		1.974629
0.166000		0.070000		2.060583
0.167000		0.070000		2.149430
0.168000		0.070000		2.241235
0.169000		0.070000		2.336065
0.170000		0.070000		2.433988
0.171000		0.070000		2.535072
0.172000		0.070000		2.639384
0.173000		0.070000		2.746993
0.174000		0.070000		2.857969
0.175000		0.070000		2.972381
0.176000		0.070000		3.090300
0.177000		0.070000		3.211796
0.178000		0.070000		3.336941
0.179000		0.070000		3.465805
0.180000		0.070000		3.598461
0.181000		0.070000		3.734981
0.182000		0.070000		3.875437
0.183000		0.070000		4.019903
0.184000		0.070000		4.168451
0.185000		0.070000		4.321155
0.186000		0.070000		4.478089
0.187000		0.070000		4.639326
0.188000		0.070000		4.804942
0.189000		0.070000		4.975009
0.190000		0.070000		5.149603
0.191000		0.070000		5.328798
0.192000		0.070000		5.512670
0.193000		0.070000		5.701293
0.194000		0.070000		5.894742
0.195000		0.070000		6.093093
0.196000		0.070000		6.296420
0.197000		0.070000		6.504799
0.198000		0.070000		6.718304
0.199000		0.070000		6.937013
0.200000		0.070000		7.160998
0.100000		0.080000		0.034668
0.101000		0.080000		0.038077
0.102000		0.080000		0.041755
0.103000		0.080000		0.045719
0.104000		0.080000		0.049985
0.105000		0.080000		0.054569
0.106000		0.080000		0.059491
0.107000		0.080000		0.064768
0.108000		0.080000		0.070419
0.109000		0.080000		0.076465
0.110000		0.080000		0.082925
0.111000		0.080000		0.089821
0.112000		0.080000		0.097175
0.113000		0.080000		0.105009
0.114000		0.080000		0.113347
0.115000		0.080000		0.122213
0.116000		0.080000		0.131630
0.117000		0.080000		0.141625
0.118000		0.080000		0.152224
0.119000		0.080000		0.163454
0.120000		0.080000		0.175342
0.121000		0.080000		0.187917
0.122000		0.080000		0.201209
0.123000		0.080000		0.215247
0.124000		0.080000		0.230062
0.125000		0.080000		0.245686
0.126000		0.080000		0.262151
0.127000		0.080000		0.279491
0.128000		0.080000		0.297740
0.129000		0.080000		0.316932
0.130000		0.080000		0.337104
0.131000		0.080000		0.358293
0.132000		0.080000		0.380534
0.133000		0.080000		0.403868
0.134000		0.080000		0.428333
0.135000		0.080000		0.453969
0.136000		0.080000		0.480817
0.137000		0.080000		0.508919
0.138000		0.080000		0.538317
0.139000		0.080000		0.569055
0.140000		0.080000		0.601178
0.141000		0.080000		0.634729
0.142000		0.080000		0.669756
0.143000		0.080000		0.706306
0.144000		0.080000		0.744425
0.145000		0.080000		0.784164
0.146000		0.080000		0.825570
0.147000		0.080000		0.868694
0.148000		0.080000		0.913589
0.149000		0.080000		0.960304
0.150000		0.080000		1.008894
0.151000		0.080000		1.059412
0.152000		0.080000		1.111912
0.153000		0.080000		1.166449
0.154000		0.080000		1.223080
0.155000		0.080000		1.281861
0.156000		0.080000		1.342849
0.157000		0.080000		1.406104
0.158000		0.080000		1.471684
0.159000		0.080000		1.539648
0.160000		0.080000		1.610057
0.161000		0.080000		1.682973
0.162000		0.080000		1.758458
0.163000		0.080000		1.836573
0.164000		0.080000		1.917383
0.165000		0.080000		2.000950
0.166000		0.080000		2.087341
0.167000		0.080000		2.176619
0.168000		0.080000		2.268850
0.169000		0.080000		2.364102
0.170000		0.080000		2.462440
0.171000		0.080000		2.563933
0.172000		0.080000		2.668647
0.173000		0.080000		2.776653
0.174000		0.080000		2.888019
0.175000		0.080000		3.002813
0.176000		0.080000		3.121107
0.177000		0.080000		3.242971
0.178000		0.080000		3.368476
0.179000		0.080000		3.497692
0.180000		0.080000		3.630691
0.181000		0.080000		3.767546
0.182000		0.080000		3.908329
0.183000		0.080000		4.053112
0.184000		0.080000		4.201969
0.185000		0.080000		4.354972
0.186000		0.080000		4.512195
0.187000		0.080000		4.673712
0.188000		0.080000		4.839597
0.189000		0.080000		5.009925
0.190000		0.080000		5.184768
0.191000		0.080000		5.364203
0.192000		0.080000		5.548303
0.193000		0.080000		5.737143
0.194000		0.080000		5.930799
0.195000		0.080000		6.129345
0.196000		0.080000		6.332857
0.197000		0.080000		6.541409
0.198000		0.080000		6.755076
0.199000		0.080000		6.973934
0.200000		0.080000		7.198058
0.100000		0.090000		0.037023
0.101000		0.090000		0.040611
0.102000		0.090000		0.044477
0.103000		0.090000		0.048638
0.104000		0.090000		0.053111
0.105000		0.090000		0.057911
0.106000		0.090000		0.063059
0.107000		0.090000		0.068572
0.108000		0.090000		0.074469
0.109000		0.090000		0.080770
0.110000		0.090000		0.087496
0.111000		0.090000		0.094668
0.112000		0.090000		0.102307
0.113000		0.090000		0.110437
0.114000		0.090000		0.119081
