     115  3  0.110           223     211    -211       0       0
     115  2  0.025           321    -321       0       0       0
     115  2  0.025           311    -311       0       0       0
    -215  a2-1320(-)             1.31800   0.10700  5  0  0  0  0  3 -1  5
    -215  2  0.350          -213     111       0       0       0
    -215  2  0.350           113    -211       0       0       0
    -215  2  0.140           221    -211       0       0       0
    -215  3  0.110           223    -211     111       0       0
    -215  2  0.050          -321     311       0       0       0
    3224  Sigma(+)1385          1.38400   0.03600  4  1 -1  0  0  3  1  3
    3224  2  0.880          3122     211       0       0       0
    3224  2  0.060          3222     111       0       0       0
    3224  2  0.060          3212     211       0       0       0
    3214  Sigma(0)1385          1.38400   0.03600  4  1 -1  0  0  3  0  3
    3214  2  0.880          3122     111       0       0       0    
    3214  2  0.060          3222    -211       0       0       0
    3214  2  0.060          3112     211       0       0       0
    3114  Sigma(-)1385          1.38400   0.03600  4  1 -1  0  0  3 -1  3
    3114  2  0.880          3122    -211       0       0       0
    3114  2  0.060          3112     111       0       0       0
    3114  2  0.060          3212    -211       0       0       0
   10333  h1prime1380           1.38600   0.09000  3  0  0  0  0  1  0  4
   10333 -2  0.250           323    -321       0       0       0
   10333 -2  0.250           313    -311       0       0       0
   10333 -2  0.250          -323     321       0       0       0
   10333 -2  0.250          -313     311       0       0       0
   10221  f0-1370                 1.37000   0.20000  1  0  0  0  0  1  0  7
   10221  2  0.067           211    -211       0       0       0
   10221  2  0.033           111     111       0       0       0
   10221  4  0.280           211     211    -211    -211       0
   10221  4  0.373           211    -211     111     111       0
   10221  4  0.047           111     111     111     111       0
   10221  2  0.100           321    -321       0       0       0
   10221  2  0.100           311    -311       0       0       0
   20323  K1-1400(+)             1.40000   0.17400  3  0  1  0  0  2  1  5
   20323  2  0.640           313     211       0       0       0
   20323  2  0.320           323     111       0       0       0
   20323  2  0.020           311     213       0       0       0
   20323  2  0.010           321     113       0       0       0
   20323  2  0.010           223     321       0       0       0
  -20323  K1-1400(-)             1.40000   0.17400  3  0 -1  0  0  2 -1  5
  -20323  2  0.640          -313    -211       0       0       0
  -20323  2  0.320          -323     111       0       0       0
  -20323  2  0.020          -311    -213       0       0       0
  -20323  2  0.010          -321     113       0       0       0
  -20323  2  0.010           223    -321       0       0       0
   20313  K1-1400(0)             1.40000   0.17400  3  0  1  0  0  2  0  5
   20313  2  0.640           323    -211       0       0       0
   20313  2  0.320           313     111       0       0       0
   20313  2  0.020           321    -213       0       0       0
   20313  2  0.010           311     113       0       0       0
   20313  2  0.010           223     311       0       0       0
  -20313  Anti-K1-1400(0)        1.40000   0.17400  3  0 -1  0  0  2  0  5
  -20313  2  0.640          -323     211       0       0       0
  -20313  2  0.320          -313     111       0       0       0
  -20313  2  0.020          -321     213       0       0       0
  -20313  2  0.010          -311     113       0       0       0
  -20313  2  0.010           223    -311       0       0       0
   13122  Lambda-1405             1.40700   0.05000  2  1 -1  0  0  1  0  3
   13122  2  0.333          3222    -211       0       0       0
   13122  2  0.334          3212     111       0       0       0
